Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:27,"[[0.183, 0.528, 1.85, 2.451, 2.634, 5.975, 6.135, 6.568, 6.586, 5.768, 6.147, 4.274, 2.769, 3.396, 4.888, 3.771, 2.789, 2.167, 1.615, 2.743, 2.767, 0.002, 0.638, 0.395, 0.269, 0.0, 0.0, 0.0, 0.011, 0.0, 0.001, 0.0], [0.093, 0.275, 0.368, 0.312, 0.594, 0.654, 0.363, 0.452, 0.351, 1.678, 0.767, 0.393, 0.541, 0.004, 0.498, 0.335, 0.549, 0.27, 0.273, 0.482, 0.141, 0.063, 0.053, 0.043, 0.009, 0.002, 0.0, 0.0]]","[[[3, 5], [4, 3], [5, 3], [6, 3], [4, 6], [6, 4], [4, 7], [4, 8], [6, 1], [6, 8], [7, 5], [2, 2], [2, 4], [2, 5], [2, 3], [2, 1], [1, 6], [2, 6], [6, 5], [7, 4], [1, 2], [1, 8], [2, 7], [8, 5], [2, 8], [8, 8], [7, 7], [8, 7], [8, 2], [8, 1], [4, 1], [3, 2]], [[3, 4], [3, 6], [6, 2], [6, 6], [3, 3], [5, 7], [5, 8], [3, 8], [3, 7], [7, 8], [6, 7], [5, 6], [7, 6], [1, 1], [1, 5], [3, 1], [1, 7], [1, 4], [7, 3], [1, 3], [8, 3], [8, 6], [5, 1], [8, 4], [7, 1], [7, 2], [5, 2], [4, 2]]]","[32, 28]","[54, 10, 44]",1
"[1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:16,"[[0.274, 0.973, 2.228, 3.492, 4.598, 4.548, 6.185, 6.116, 10.373, 15.858, 11.233, 10.181, 4.781, 5.685, 9.513, 2.887, 5.989, 6.541, 5.155, 2.497, 1.074, 0.641, 0.526, 0.413, 0.1, 0.069, 0.015, 0.002, 0.0, 0.0], [0.107, 0.243, 0.381, 0.731, 0.734, 0.554, 0.868, 1.564, 0.968, 1.017, 0.854, 0.692, 0.57, 0.817, 0.734, 0.462, 0.588, 0.592, 0.613, 0.412, 0.198, 0.113, 0.002, 0.075, 0.061, 0.017, 0.001, 0.003, 0.0, 0.0]]","[[[3, 4], [3, 6], [6, 3], [3, 3], [6, 6], [6, 5], [2, 6], [2, 5], [1, 6], [6, 1], [1, 3], [3, 1], [3, 7], [4, 7], [5, 8], [2, 8], [5, 2], [7, 6], [8, 6], [8, 3], [2, 7], [6, 8], [8, 4], [1, 7], [2, 2], [5, 1], [1, 2], [7, 7], [7, 2], [7, 1]], [[3, 5], [4, 3], [5, 3], [6, 4], [4, 6], [5, 6], [2, 4], [2, 3], [1, 5], [6, 2], [3, 2], [1, 4], [4, 2], [5, 7], [3, 8], [4, 8], [7, 3], [7, 5], [7, 4], [8, 5], [8, 7], [6, 7], [1, 8], [8, 2], [7, 8], [4, 1], [1, 1], [2, 1], [8, 8], [8, 1]]]","[30, 30]","[28, 36, 8]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:36,"[[0.23, 0.624, 2.025, 2.668, 3.009, 8.252, 7.781, 7.699, 7.646, 5.747, 6.6, 4.913, 3.38, 3.517, 4.908, 3.652, 2.571, 2.356, 1.542, 3.004, 3.16, 0.005, 0.651, 0.423, 0.275, 0.001, 0.001, 0.0, 0.01, 0.001, 0.001, 0.0], [0.154, 0.33, 0.276, 0.294, 0.648, 0.878, 0.76, 0.393, 0.407, 1.139, 0.648, 0.357, 0.513, 0.005, 0.408, 0.252, 0.466, 0.373, 0.23, 0.258, 0.234, 0.104, 0.037, 0.057, 0.017, 0.003, 0.001, 0.0]]","[[[3, 5], [4, 3], [5, 3], [6, 3], [4, 6], [6, 4], [4, 7], [4, 8], [6, 1], [6, 8], [7, 5], [2, 2], [2, 4], [2, 5], [2, 3], [2, 1], [1, 6], [2, 6], [6, 5], [7, 4], [1, 2], [1, 8], [2, 7], [8, 5], [2, 8], [8, 8], [7, 7], [8, 7], [8, 2], [8, 1], [4, 1], [3, 2]], [[3, 4], [3, 6], [6, 2], [6, 6], [3, 3], [5, 7], [5, 8], [3, 8], [3, 7], [7, 8], [6, 7], [5, 6], [7, 6], [1, 1], [1, 5], [3, 1], [1, 7], [1, 4], [7, 3], [1, 3], [8, 3], [8, 6], [5, 1], [8, 4], [7, 1], [7, 2], [5, 2], [4, 2]]]","[32, 28]","[54, 10, 44]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:06,"[[0.331, 0.954, 2.379, 3.541, 6.533, 8.064, 11.282, 10.282, 8.242, 6.69, 7.468, 7.729, 6.471, 6.871, 4.107, 3.887, 5.846, 3.185, 3.108, 2.991, 0.854, 0.68, 0.001, 0.182, 0.042, 0.0, 0.008, 0.0, 0.0, 0.0], [0.151, 0.268, 0.381, 0.469, 0.612, 1.476, 0.733, 1.064, 0.594, 1.339, 1.038, 0.733, 0.366, 0.459, 1.091, 0.754, 0.786, 0.557, 0.416, 0.319, 0.289, 0.063, 0.109, 0.125, 0.049, 0.025, 0.011, 0.005, 0.001, 0.0]]","[[[4, 3], [6, 3], [3, 6], [3, 3], [3, 2], [6, 1], [8, 3], [5, 1], [4, 1], [6, 6], [6, 5], [7, 4], [5, 2], [8, 5], [8, 7], [3, 7], [1, 6], [6, 7], [5, 8], [1, 4], [8, 2], [3, 8], [1, 8], [7, 8], [2, 3], [8, 8], [1, 3], [1, 1], [8, 1], [1, 7]], [[5, 3], [3, 4], [3, 5], [4, 6], [4, 2], [6, 2], [7, 3], [6, 4], [3, 1], [7, 1], [5, 6], [7, 5], [7, 6], [8, 4], [8, 6], [2, 6], [4, 7], [2, 8], [6, 8], [1, 5], [4, 8], [5, 7], [2, 5], [2, 1], [2, 4], [7, 7], [1, 2], [7, 2], [2, 2], [2, 7]]]","[30, 30]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:58,"[[0.302, 0.738, 2.705, 3.8, 3.6, 7.788, 8.677, 13.476, 7.748, 7.265, 0.007, 4.631, 8.955, 12.621, 3.823, 6.497, 5.98, 2.888, 2.118, 1.068, 0.003, 1.06, 0.412, 0.363, 0.212, 0.087, 0.001, 0.016, 0.0, 0.0], [0.184, 0.356, 0.461, 0.257, 0.901, 0.852, 0.676, 0.631, 0.423, 0.541, 0.993, 0.755, 0.983, 0.642, 0.971, 0.535, 0.234, 0.162, 0.128, 0.067, 0.266, 0.082, 0.072, 0.073, 0.011, 0.008, 0.004, 0.006, 0.002, 0.0]]","[[[3, 5], [4, 3], [5, 3], [6, 3], [4, 6], [6, 4], [4, 7], [6, 8], [7, 3], [6, 1], [8, 1], [7, 4], [5, 6], [5, 1], [6, 7], [8, 4], [8, 2], [8, 6], [4, 1], [2, 8], [1, 8], [1, 6], [2, 6], [1, 3], [1, 5], [8, 7], [8, 8], [2, 3], [1, 1], [3, 1]], [[3, 4], [3, 6], [6, 2], [6, 6], [3, 3], [5, 7], [7, 2], [3, 2], [8, 3], [7, 1], [6, 5], [3, 7], [8, 5], [3, 8], [5, 2], [7, 5], [7, 6], [4, 8], [5, 8], [2, 7], [1, 7], [2, 5], [2, 4], [1, 4], [4, 2], [7, 7], [7, 8], [1, 2], [2, 1], [2, 2]]]","[30, 30]","[45, 19, 26]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",02:30,"[[0.349, 1.124, 2.652, 3.305, 5.652, 10.447, 13.006, 14.051, 11.104, 8.63, 8.967, 8.783, 9.516, 8.025, 5.907, 5.943, 4.025, 3.908, 2.596, 2.435, 1.636, 1.422, 1.044, 0.001, 0.176, 0.066, 0.001, 0.0, 0.0, 0.0], [0.177, 0.24, 0.442, 0.436, 0.595, 0.712, 1.264, 0.663, 0.899, 0.449, 1.286, 1.085, 1.508, 0.971, 1.057, 0.751, 0.592, 0.378, 0.596, 0.256, 0.231, 0.144, 0.085, 0.063, 0.043, 0.012, 0.01, 0.003, 0.002, 0.0]]","[[[5, 6], [3, 6], [7, 3], [3, 3], [6, 6], [2, 4], [1, 4], [1, 2], [1, 6], [4, 3], [2, 3], [2, 6], [7, 6], [8, 6], [6, 8], [4, 8], [3, 7], [7, 5], [2, 8], [4, 2], [7, 8], [6, 1], [6, 2], [1, 8], [2, 1], [3, 1], [1, 1], [8, 1], [8, 8], [7, 1]], [[4, 6], [6, 5], [6, 4], [6, 3], [3, 5], [5, 3], [2, 5], [1, 3], [1, 5], [8, 3], [3, 4], [5, 2], [6, 7], [8, 5], [8, 7], [5, 8], [4, 7], [5, 7], [3, 8], [3, 2], [4, 1], [8, 4], [7, 4], [1, 7], [2, 7], [5, 1], [2, 2], [7, 2], [7, 7], [8, 2]]]","[30, 30]","[42, 22, 20]",1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:07,"[[0.303, 0.563, 3.212, 3.2, 4.999, 6.122, 10.242, 8.635, 9.165, 6.472, 8.022, 8.578, 8.323, 6.454, 7.913, 6.293, 5.04, 4.167, 3.436, 1.651, 0.678, 0.001, 0.001, 0.409, 0.383, 0.128, 0.0, 0.0, 0.019, 0.011, 0.0, 0.0, 0.0], [0.112, 0.222, 0.418, 0.362, 1.082, 1.204, 1.692, 1.546, 0.336, 1.029, 1.434, 0.431, 0.232, 0.327, 0.649, 0.331, 0.331, 0.436, 0.143, 0.519, 0.0, 0.126, 0.032, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [6, 4], [3, 3], [5, 2], [3, 2], [3, 5], [3, 4], [5, 1], [6, 2], [5, 6], [2, 4], [2, 6], [1, 4], [6, 7], [4, 7], [3, 7], [7, 6], [8, 6], [5, 8], [2, 7], [1, 7], [5, 7], [2, 8], [7, 4], [8, 4], [7, 7], [7, 8], [7, 3], [2, 1], [7, 2], [7, 1], [1, 2]], [[6, 3], [4, 3], [2, 3], [6, 6], [3, 1], [4, 2], [4, 1], [6, 1], [3, 6], [4, 6], [1, 3], [1, 6], [1, 5], [6, 8], [2, 5], [3, 8], [8, 5], [8, 7], [4, 8], [6, 5], [1, 8], [7, 5], [8, 3], [8, 8], [1, 1], [8, 1], [2, 2], [8, 2]]]","[32, 28]","[27, 37, 10]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:22,"[[0.497, 1.196, 4.099, 5.053, 9.173, 6.889, 13.172, 7.34, 7.196, 7.936, 11.238, 8.809, 12.247, 9.437, 10.721, 6.401, 0.005, 3.83, 1.498, 0.004, 0.825, 0.613, 0.649, 0.493, 0.001, 0.211, 0.0, 0.037, 0.0, 0.001, 0.0], [0.151, 0.376, 0.449, 1.1, 1.296, 1.122, 0.846, 0.636, 0.27, 1.145, 0.888, 0.362, 0.589, 0.955, 0.612, 0.311, 0.179, 0.352, 0.199, 0.184, 0.109, 0.0, 0.114, 0.019, 0.046, 0.04, 0.019, 0.002, 0.0]]","[[[5, 6], [3, 6], [6, 6], [6, 4], [3, 3], [6, 8], [5, 8], [2, 8], [6, 2], [5, 3], [6, 1], [5, 2], [7, 6], [3, 8], [7, 3], [7, 4], [8, 1], [4, 1], [8, 2], [8, 8], [8, 7], [3, 2], [1, 3], [3, 1], [1, 1], [1, 5], [1, 2], [2, 4], [3, 4], [1, 6], [2, 7]], [[4, 6], [6, 5], [5, 7], [3, 5], [6, 7], [3, 7], [4, 3], [6, 3], [4, 7], [2, 3], [7, 1], [5, 1], [7, 5], [4, 8], [7, 2], [8, 3], [8, 5], [8, 4], [8, 6], [7, 7], [7, 8], [1, 8], [2, 6], [4, 2], [2, 1], [1, 4], [2, 2], [2, 5], [1, 7]]]","[31, 29]","[53, 11, 42]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:59,"[[0.267, 0.847, 2.804, 3.821, 3.51, 8.473, 8.556, 14.436, 8.716, 7.332, 0.005, 4.617, 5.555, 5.871, 8.239, 8.61, 4.496, 2.886, 3.459, 2.414, 1.278, 0.507, 0.001, 0.196, 0.001, 0.001, 0.0, 0.072, 0.018, 0.0, 0.0, 0.0], [0.155, 0.361, 0.416, 0.542, 1.056, 0.949, 0.804, 0.755, 0.788, 0.935, 0.68, 0.538, 0.335, 0.571, 0.808, 1.017, 0.482, 0.354, 0.411, 0.111, 0.054, 0.022, 0.04, 0.072, 0.038, 0.002, 0.001, 0.0]]","[[[6, 4], [5, 6], [4, 6], [3, 6], [5, 3], [3, 5], [5, 2], [3, 1], [2, 6], [3, 8], [1, 8], [2, 5], [4, 8], [6, 2], [1, 5], [1, 7], [1, 2], [5, 7], [4, 1], [3, 2], [4, 7], [6, 8], [7, 8], [7, 4], [1, 1], [8, 1], [7, 2], [8, 2], [8, 6], [8, 8], [8, 4], [7, 7]], [[6, 5], [6, 3], [3, 7], [3, 3], [6, 6], [4, 2], [2, 7], [6, 7], [1, 6], [2, 8], [3, 4], [1, 4], [4, 3], [2, 4], [1, 3], [2, 3], [7, 1], [5, 1], [2, 1], [6, 1], [5, 8], [2, 2], [7, 6], [7, 5], [7, 3], [8, 3], [8, 7], [8, 5]]]","[32, 28]","[60, 4, 56]",1
"[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",02:17,"[[0.367, 1.303, 4.4, 5.275, 7.394, 6.839, 12.938, 6.614, 7.181, 9.659, 8.067, 4.562, 10.902, 8.953, 9.158, 8.684, 2.025, 1.488, 1.861, 2.443, 1.578, 1.04, 0.617, 0.225, 0.134, 0.039, 0.013, 0.0, 0.0], [0.128, 0.252, 0.532, 1.103, 1.209, 0.79, 0.83, 0.684, 0.56, 0.81, 0.757, 0.57, 0.959, 0.703, 0.753, 0.729, 0.379, 0.451, 0.38, 0.283, 0.318, 0.175, 0.096, 0.067, 0.001, 0.034, 0.001, 0.004, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 3], [3, 3], [3, 5], [6, 6], [3, 1], [4, 1], [6, 2], [8, 3], [3, 7], [8, 5], [4, 6], [1, 3], [1, 4], [2, 5], [1, 6], [6, 5], [8, 2], [8, 6], [4, 7], [4, 8], [2, 8], [5, 8], [7, 1], [7, 8], [2, 2], [1, 2], [8, 8], [1, 7]], [[5, 3], [3, 4], [4, 2], [6, 4], [3, 2], [7, 3], [5, 6], [3, 6], [6, 1], [5, 2], [8, 4], [7, 4], [2, 4], [2, 3], [2, 6], [5, 1], [2, 1], [7, 5], [7, 6], [5, 7], [6, 7], [3, 8], [1, 5], [6, 8], [8, 1], [8, 7], [1, 1], [7, 7], [7, 2], [2, 7], [1, 8]]]","[29, 31]","[30, 34, 4]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:51,"[[0.296, 0.805, 2.403, 3.25, 3.599, 8.316, 8.318, 8.741, 8.634, 7.474, 7.848, 5.824, 3.608, 4.135, 5.658, 4.635, 3.165, 2.596, 1.922, 3.287, 3.23, 0.003, 0.681, 0.376, 0.315, 0.0, 0.0, 0.0, 0.012, 0.001, 0.001, 0.0], [0.19, 0.346, 0.335, 0.235, 1.092, 1.062, 0.577, 1.276, 0.533, 1.229, 0.732, 0.305, 0.475, 0.006, 0.613, 0.329, 0.545, 0.37, 0.47, 0.378, 0.096, 0.254, 0.082, 0.044, 0.009, 0.004, 0.001, 0.0]]","[[[5, 3], [3, 4], [3, 5], [3, 6], [6, 4], [4, 6], [7, 4], [8, 4], [1, 6], [8, 6], [5, 7], [2, 2], [4, 2], [5, 2], [3, 2], [1, 2], [6, 1], [6, 2], [5, 6], [4, 7], [2, 1], [8, 1], [7, 2], [5, 8], [8, 2], [8, 8], [7, 7], [7, 8], [2, 8], [1, 8], [1, 4], [2, 3]], [[4, 3], [6, 3], [2, 6], [6, 6], [3, 3], [7, 5], [8, 5], [8, 3], [7, 3], [8, 7], [7, 6], [6, 5], [6, 7], [1, 1], [5, 1], [1, 3], [7, 1], [4, 1], [3, 7], [3, 1], [3, 8], [6, 8], [1, 5], [4, 8], [1, 7], [2, 7], [2, 5], [2, 4]]]","[32, 28]","[54, 10, 44]",1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:09,"[[0.35, 1.177, 2.642, 3.142, 6.958, 10.686, 13.172, 11.41, 8.423, 9.398, 8.845, 5.896, 4.459, 0.005, 6.383, 4.77, 4.943, 3.407, 2.739, 4.639, 2.811, 1.069, 0.309, 0.268, 0.021, 0.003, 0.001, 0.0], [0.13, 0.323, 0.373, 0.517, 0.982, 0.925, 0.826, 0.517, 0.726, 0.437, 0.6, 0.748, 0.508, 0.21, 0.699, 0.363, 0.295, 0.253, 0.327, 0.463, 0.276, 0.002, 0.086, 0.085, 0.055, 0.001, 0.0, 0.001, 0.007, 0.0, 0.001, 0.0]]","[[[4, 3], [6, 3], [2, 6], [6, 6], [3, 3], [7, 5], [8, 5], [8, 3], [7, 3], [8, 7], [7, 6], [6, 5], [6, 7], [1, 1], [5, 1], [1, 3], [7, 1], [4, 1], [3, 7], [3, 1], [6, 8], [3, 8], [1, 5], [4, 8], [1, 7], [2, 7], [2, 5], [2, 4]], [[5, 3], [3, 4], [3, 5], [3, 6], [6, 4], [4, 6], [7, 4], [8, 4], [1, 6], [8, 6], [5, 7], [2, 2], [4, 2], [5, 2], [3, 2], [1, 2], [6, 1], [6, 2], [5, 6], [4, 7], [2, 1], [8, 1], [7, 2], [5, 8], [8, 2], [8, 8], [7, 7], [7, 8], [2, 8], [1, 8], [1, 4], [2, 3]]]","[28, 32]","[10, 54, 44]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",01:51,"[[0.252, 0.729, 2.302, 3.129, 3.537, 7.793, 8.198, 8.915, 9.116, 6.799, 7.927, 5.57, 3.634, 3.876, 5.755, 4.542, 3.338, 2.73, 1.838, 3.206, 3.373, 0.003, 1.319, 0.518, 0.196, 0.145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.135, 0.308, 0.41, 0.351, 0.805, 1.512, 0.479, 1.355, 0.484, 0.992, 0.718, 0.482, 0.56, 0.005, 0.646, 0.348, 0.363, 0.364, 0.403, 0.29, 0.199, 0.204, 0.253, 0.068, 0.023, 0.012, 0.002]]","[[[4, 6], [6, 5], [6, 4], [6, 3], [3, 5], [5, 3], [2, 5], [1, 5], [8, 3], [1, 3], [4, 2], [7, 7], [5, 7], [4, 7], [6, 7], [8, 7], [3, 8], [3, 7], [4, 3], [5, 2], [7, 8], [1, 8], [7, 6], [2, 7], [5, 1], [1, 7], [1, 1], [2, 2], [8, 5], [2, 1], [8, 1], [7, 2], [7, 1]], [[5, 6], [3, 6], [7, 3], [3, 3], [6, 6], [2, 4], [1, 4], [1, 6], [2, 6], [1, 2], [2, 3], [3, 4], [3, 2], [8, 8], [4, 8], [8, 6], [2, 8], [5, 8], [6, 2], [6, 8], [3, 1], [8, 4], [8, 2], [6, 1], [4, 1], [7, 4], [7, 5]]]","[33, 27]","[54, 10, 44]",1
