Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:42,"[[2.229, 2.238, 2.257, 2.334, 2.621, 2.02, 2.155, 2.106, 2.204, 0.0, 2.312, 2.174, 1.893, 1.713, 2.084, 1.886, 1.961, 1.969, 1.838, 1.717, 1.636, 1.63, 1.531, 1.265, 0.0, 1.019, 0.952, 0.806, 0.626, 0.602], [0.001, 0.0, 0.0, 0.0, 3.116, 3.096, 3.412, 0.936, 1.192, 6.14, 3.791, 5.671, 3.432, 8.56, 6.364, 2.849, 1.163, 0.883, 0.644, 0.337, 0.388, 0.37, 0.0, 0.08, 0.199, 0.082, 0.033, 0.0, 0.001, 0.0]]","[[[4, 6], [6, 3], [5, 3], [3, 7], [7, 6], [3, 6], [7, 5], [5, 7], [3, 8], [1, 8], [5, 8], [4, 2], [2, 3], [6, 6], [8, 6], [8, 4], [6, 2], [3, 1], [5, 1], [7, 8], [1, 3], [3, 3], [8, 2], [7, 1], [1, 1], [2, 7], [1, 5], [7, 7], [2, 5], [2, 6]], [[3, 4], [6, 4], [4, 7], [6, 5], [2, 8], [5, 6], [3, 5], [6, 8], [7, 2], [4, 3], [4, 8], [5, 2], [8, 5], [3, 2], [2, 4], [1, 2], [7, 3], [4, 1], [6, 7], [6, 1], [1, 4], [2, 1], [8, 1], [8, 3], [7, 4], [8, 7], [2, 2], [8, 8], [1, 7], [1, 6]]]","[30, 30]","[28, 36, 8]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:34,"[[2.106, 1.965, 1.889, 2.313, 2.396, 2.295, 2.179, 2.391, 1.971, 1.989, 2.143, 2.487, 2.141, 1.874, 1.613, 1.782, 1.955, 1.521, 1.591, 1.624, 1.408, 1.392, 1.281, 1.27, 1.239, 1.16, 0.839, 0.0, 0.721, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.555, 6.75, 3.966, 1.503, 8.083, 4.51, 9.559, 0.002, 0.593, 1.172, 0.001, 0.001, 1.072, 0.484, 0.607, 0.543, 0.78, 1.027, 0.624, 0.098, 0.027, 0.006, 0.001, 0.0]]","[[[4, 3], [6, 3], [4, 2], [2, 3], [7, 4], [6, 5], [7, 6], [6, 7], [6, 2], [4, 1], [1, 5], [2, 7], [1, 3], [8, 6], [7, 5], [2, 2], [7, 1], [3, 4], [2, 1], [7, 2], [2, 6], [2, 8], [5, 2], [5, 6], [6, 8], [2, 5], [8, 2], [8, 8], [3, 7], [4, 7]], [[5, 3], [3, 3], [6, 4], [7, 3], [3, 1], [3, 6], [6, 6], [2, 4], [3, 5], [8, 4], [3, 2], [1, 4], [8, 7], [1, 8], [8, 5], [6, 1], [1, 1], [8, 1], [1, 2], [1, 6], [5, 1], [8, 3], [3, 8], [5, 7], [7, 8], [5, 8], [4, 6], [1, 7], [7, 7], [4, 8]]]","[30, 30]","[33, 31, 2]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:26,"[[2.062, 2.079, 2.173, 2.402, 1.895, 1.958, 2.019, 2.234, 1.93, 1.661, 2.251, 2.063, 1.879, 2.273, 1.63, 1.929, 1.604, 1.35, 0.0, 1.105, 1.164, 1.28, 1.14, 1.225, 1.082, 0.853, 0.0, 0.536, 0.626], [0.0, 0.0, 0.0, 0.0, 1.581, 1.663, 2.933, 4.947, 4.693, 4.639, 4.048, 3.8, 2.503, 1.95, 1.967, 2.787, 0.002, 0.573, 1.171, 0.915, 0.542, 0.362, 0.002, 0.271, 0.122, 0.046, 0.034, 0.008, 0.003, 0.002, 0.0]]","[[[3, 5], [6, 3], [3, 6], [1, 4], [4, 3], [2, 6], [2, 3], [3, 2], [3, 1], [6, 4], [5, 1], [7, 6], [8, 4], [5, 7], [6, 7], [8, 6], [1, 2], [1, 3], [8, 8], [5, 8], [6, 8], [1, 6], [2, 7], [3, 8], [4, 7], [5, 2], [8, 1], [7, 3], [8, 3]], [[5, 6], [3, 4], [2, 5], [5, 3], [2, 4], [4, 6], [3, 3], [4, 2], [4, 1], [6, 5], [7, 4], [7, 5], [2, 2], [6, 6], [4, 8], [7, 7], [1, 1], [8, 5], [8, 7], [1, 5], [2, 1], [1, 7], [1, 8], [6, 1], [7, 8], [7, 2], [2, 8], [3, 7], [6, 2], [7, 1], [8, 2]]]","[29, 31]","[11, 53, 42]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",01:12,"[[1.99, 2.223, 2.595, 2.554, 2.19, 2.216, 2.225, 1.79, 2.184, 1.901, 1.889, 1.799, 1.966, 1.925, 1.308, 1.248, 1.383, 1.104, 0.0, 0.0, 0.919, 0.883, 0.669, 0.645, 0.637, 0.65, 0.588], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.337, 2.676, 3.103, 6.229, 7.296, 1.459, 0.486, 0.821, 0.004, 1.464, 1.355, 0.807, 1.001, 0.587, 0.292, 0.207, 0.211, 0.17, 0.001, 0.032, 0.007, 0.002, 0.0, 0.0]]","[[[6, 3], [4, 3], [7, 5], [8, 3], [6, 1], [4, 6], [6, 6], [2, 3], [6, 5], [8, 4], [3, 5], [2, 6], [3, 1], [3, 8], [5, 1], [2, 2], [5, 7], [2, 4], [8, 1], [8, 8], [1, 3], [2, 5], [2, 7], [2, 8], [5, 8], [6, 7], [8, 7]], [[5, 3], [6, 4], [6, 2], [7, 3], [3, 3], [8, 6], [5, 6], [3, 2], [5, 2], [4, 2], [3, 4], [3, 6], [3, 7], [4, 1], [2, 1], [7, 1], [4, 7], [1, 1], [7, 2], [7, 7], [1, 4], [1, 2], [1, 5], [8, 2], [7, 4], [1, 6], [1, 7], [1, 8], [4, 8], [6, 8], [7, 8], [8, 5], [7, 6]]]","[27, 33]","[11, 53, 42]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:32,"[[2.184, 2.088, 2.028, 2.181, 2.66, 2.886, 2.519, 2.394, 2.112, 2.118, 2.041, 1.976, 2.148, 1.576, 1.613, 0.0, 1.34, 1.16, 1.176, 1.148, 1.029, 0.963, 1.039, 1.294, 1.043, 1.081, 1.031, 0.852, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.025, 6.825, 4.531, 3.934, 6.151, 4.136, 4.292, 3.841, 2.185, 2.17, 1.484, 1.079, 0.937, 0.501, 0.001, 0.322, 0.001, 0.397, 0.343, 0.224, 0.062, 0.015, 0.002, 0.002]]","[[[5, 3], [3, 6], [6, 6], [6, 3], [7, 6], [3, 3], [4, 7], [2, 6], [7, 4], [8, 5], [2, 4], [6, 8], [3, 7], [1, 5], [8, 6], [1, 8], [1, 6], [7, 7], [7, 3], [6, 7], [7, 8], [7, 2], [6, 2], [5, 1], [3, 2], [5, 2], [2, 3], [1, 2], [1, 1], [4, 1], [7, 1]], [[6, 5], [3, 5], [4, 3], [4, 6], [6, 4], [5, 6], [7, 5], [8, 7], [2, 5], [1, 7], [5, 7], [3, 8], [2, 8], [5, 8], [2, 7], [8, 4], [4, 8], [8, 3], [8, 2], [8, 8], [3, 4], [8, 1], [4, 2], [6, 1], [2, 1], [1, 3], [1, 4], [2, 2], [3, 1]]]","[31, 29]","[42, 22, 20]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:23,"[[2.126, 1.755, 2.076, 2.13, 2.358, 2.686, 1.749, 2.072, 2.05, 1.529, 1.78, 1.762, 1.466, 1.61, 1.498, 1.425, 1.205, 1.156, 1.061, 0.892, 0.985, 0.85, 0.875, 0.692, 0.738, 0.785, 0.773, 0.547], [0.0, 0.0, 0.0, 0.0, 0.0, 4.794, 2.147, 8.623, 3.868, 3.493, 1.986, 2.598, 1.844, 2.595, 1.923, 0.002, 2.001, 1.587, 1.553, 1.204, 0.828, 0.001, 0.283, 0.228, 0.275, 0.0, 0.108, 0.055, 0.024, 0.0, 0.001, 0.0]]","[[[4, 3], [6, 3], [6, 5], [3, 4], [3, 2], [1, 3], [6, 7], [8, 6], [7, 3], [8, 5], [5, 6], [2, 7], [3, 7], [6, 8], [2, 6], [2, 8], [4, 8], [7, 7], [1, 5], [2, 5], [5, 8], [3, 1], [2, 1], [4, 2], [5, 2], [7, 2], [6, 2], [8, 2]], [[5, 3], [3, 3], [6, 4], [6, 6], [7, 6], [2, 3], [3, 6], [7, 5], [7, 4], [8, 4], [8, 7], [5, 7], [4, 6], [8, 3], [3, 5], [1, 8], [4, 7], [3, 8], [1, 7], [1, 6], [2, 4], [8, 8], [7, 8], [1, 4], [2, 2], [1, 1], [1, 2], [5, 1], [4, 1], [8, 1], [7, 1], [6, 1]]]","[28, 32]","[13, 51, 38]",-1
"[0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:46,"[[2.151, 2.427, 2.115, 1.873, 1.777, 1.707, 1.725, 1.58, 1.606, 1.714, 1.419, 1.149, 1.273, 1.539, 1.484, 1.501, 1.388, 1.323, 1.109, 0.946, 1.024, 0.854, 0.916, 0.812], [0.0, 0.0, 0.0, 0.0, 0.0, 0.665, 1.129, 1.275, 0.432, 0.666, 0.486, 0.505, 0.001, 0.417, 0.614, 1.261, 0.815, 0.81, 0.497, 0.484, 0.001, 0.207, 0.192, 0.083, 0.087, 0.031, 0.0]]","[[[4, 6], [5, 3], [2, 4], [2, 2], [3, 7], [5, 7], [3, 5], [2, 5], [4, 3], [2, 6], [1, 7], [1, 6], [3, 8], [6, 7], [6, 6], [7, 5], [8, 5], [7, 7], [7, 8], [8, 7], [8, 3], [6, 4], [3, 2], [6, 2]], [[3, 4], [4, 7], [2, 3], [1, 2], [1, 4], [4, 8], [6, 8], [2, 8], [1, 3], [2, 1], [1, 5], [2, 7], [1, 8], [3, 6], [6, 5], [5, 8], [5, 6], [8, 4], [8, 6], [7, 6], [8, 8], [7, 4], [8, 2], [3, 3], [3, 1], [6, 3], [6, 1]]]","[24, 27]","[0, 55, 55]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:30,"[[2.165, 2.166, 1.973, 2.227, 2.409, 2.053, 2.669, 2.368, 2.341, 2.301, 2.366, 2.027, 1.95, 2.241, 1.772, 1.71, 1.824, 1.522, 0.0, 0.0, 0.0, 1.497, 1.357, 1.253, 0.0, 1.07, 0.933, 0.976, 0.717, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.194, 4.581, 3.988, 2.836, 5.966, 2.279, 2.738, 2.041, 2.311, 2.618, 2.356, 1.383, 1.437, 0.899, 0.989, 0.973, 1.22, 1.17, 0.34, 0.09, 0.216, 0.078, 0.021, 0.002, 0.0]]","[[[6, 5], [3, 3], [6, 3], [3, 5], [6, 4], [8, 3], [7, 5], [6, 1], [2, 3], [3, 1], [5, 1], [5, 7], [6, 7], [8, 6], [1, 3], [2, 4], [3, 7], [2, 6], [1, 8], [8, 1], [1, 1], [4, 7], [8, 2], [5, 8], [8, 8], [2, 8], [2, 5], [2, 2], [1, 5], [8, 4]], [[5, 3], [3, 6], [4, 3], [6, 6], [5, 6], [7, 3], [6, 2], [3, 4], [3, 2], [1, 4], [4, 2], [7, 6], [4, 6], [6, 8], [7, 8], [1, 2], [7, 2], [2, 7], [2, 1], [7, 4], [3, 8], [4, 1], [7, 7], [5, 2], [4, 8], [8, 7], [7, 1], [1, 7], [8, 5], [1, 6]]]","[30, 30]","[39, 25, 14]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",01:12,"[[1.999, 1.848, 2.189, 1.964, 1.836, 2.152, 2.415, 1.922, 1.891, 1.886, 1.592, 1.343, 1.475, 1.304, 1.181, 1.38, 1.218, 1.106, 1.128, 1.099, 0.0, 0.987, 1.152, 0.689, 0.774, 0.784, 0.822, 0.89, 0.645, 0.648], [0.0, 0.0, 0.0, 0.0, 0.0, 4.34, 4.946, 3.532, 4.201, 3.958, 1.782, 1.339, 1.717, 0.002, 1.88, 1.025, 0.002, 0.94, 0.001, 0.56, 0.552, 0.264, 0.354, 0.564, 0.132, 0.071, 0.024, 0.008, 0.001, 0.0]]","[[[4, 6], [3, 3], [6, 6], [3, 5], [6, 3], [6, 5], [2, 4], [2, 6], [4, 2], [3, 1], [1, 6], [1, 3], [2, 2], [5, 2], [2, 1], [4, 1], [2, 7], [4, 7], [7, 1], [2, 8], [8, 8], [3, 7], [6, 7], [4, 8], [6, 8], [8, 6], [7, 6], [7, 4], [8, 2], [7, 3]], [[3, 4], [5, 6], [4, 3], [2, 5], [6, 4], [3, 6], [3, 2], [1, 4], [1, 5], [2, 3], [1, 7], [1, 2], [5, 3], [1, 1], [6, 1], [5, 1], [1, 8], [6, 2], [8, 1], [7, 7], [5, 8], [5, 7], [3, 8], [7, 8], [8, 7], [7, 2], [7, 5], [8, 4], [8, 3], [8, 5]]]","[30, 30]","[19, 45, 26]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]",01:08,"[[2.034, 1.994, 2.428, 2.739, 2.347, 2.889, 2.498, 2.468, 2.323, 2.415, 2.155, 2.313, 2.152, 0.0, 1.84, 1.52, 1.573, 1.321, 1.126, 1.402, 1.187, 0.976, 1.204, 0.791, 0.701, 0.644, 0.579, 0.525, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.944, 2.454, 2.259, 2.399, 0.514, 1.224, 0.565, 0.512, 0.518, 1.555, 1.691, 2.864, 1.088, 0.702, 0.001, 0.425, 0.442, 0.278, 0.143, 0.112, 0.001, 0.023, 0.007, 0.002, 0.0]]","[[[6, 3], [6, 5], [6, 2], [8, 3], [6, 7], [5, 1], [8, 6], [8, 4], [7, 4], [5, 2], [3, 1], [5, 8], [4, 3], [8, 1], [4, 7], [2, 5], [3, 8], [3, 5], [7, 7], [3, 4], [8, 7], [1, 6], [3, 3], [2, 7], [4, 6], [2, 4], [2, 3], [2, 2], [2, 1]], [[5, 3], [6, 4], [7, 3], [3, 6], [6, 6], [7, 1], [7, 6], [7, 5], [8, 5], [7, 2], [4, 1], [6, 8], [4, 8], [5, 6], [6, 1], [5, 7], [3, 7], [2, 8], [8, 2], [1, 5], [8, 8], [7, 8], [1, 7], [3, 2], [4, 2], [2, 6], [1, 8], [1, 4], [1, 3], [1, 2], [1, 1]]]","[29, 31]","[16, 48, 32]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:11,"[[2.214, 2.213, 2.19, 2.148, 2.176, 1.617, 1.682, 2.036, 2.107, 1.802, 1.615, 2.119, 1.838, 1.521, 1.4, 1.374, 1.409, 0.0, 1.252, 1.27, 1.249, 1.157, 0.0, 1.24, 1.073, 0.974, 1.08, 0.745, 0.57, 0.523], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.952, 2.635, 4.304, 1.676, 2.849, 4.677, 2.563, 2.254, 1.053, 0.001, 0.415, 0.806, 0.97, 0.906, 0.393, 0.269, 0.077, 0.218, 0.082, 0.076, 0.032, 0.0, 0.001, 0.0]]","[[[6, 4], [3, 6], [3, 7], [3, 3], [5, 3], [3, 5], [2, 6], [1, 4], [1, 3], [4, 8], [4, 1], [1, 5], [6, 5], [5, 7], [2, 7], [3, 8], [1, 7], [1, 1], [6, 8], [6, 7], [7, 6], [2, 2], [8, 8], [7, 4], [5, 2], [8, 5], [8, 3], [6, 1], [7, 3], [7, 1]], [[4, 3], [4, 6], [4, 7], [2, 5], [2, 8], [2, 4], [3, 4], [2, 3], [1, 6], [3, 2], [5, 6], [1, 2], [3, 1], [5, 1], [5, 8], [1, 8], [6, 6], [4, 2], [7, 8], [7, 7], [8, 6], [6, 3], [7, 5], [2, 1], [8, 4], [7, 2], [8, 7], [8, 1], [8, 2], [6, 2]]]","[30, 30]","[27, 37, 10]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",02:22,"[[2.201, 1.891, 2.231, 2.041, 1.818, 1.758, 1.606, 2.07, 2.425, 2.723, 2.24, 2.127, 2.126, 1.912, 1.712, 1.667, 1.419, 1.104, 1.044, 1.536, 1.395, 1.558, 1.25, 0.979, 0.756, 0.689, 0.776], [0.0, 0.0, 0.0, 0.0, 0.0, 2.322, 4.967, 4.331, 8.128, 9.544, 0.003, 9.521, 14.027, 10.525, 8.895, 8.537, 5.644, 3.718, 2.32, 1.838, 1.388, 0.442, 0.316, 0.277, 0.001, 0.067, 0.001, 0.02, 0.007, 0.003, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 2], [6, 4], [6, 6], [4, 6], [2, 6], [7, 5], [2, 7], [1, 3], [4, 8], [4, 1], [7, 3], [6, 8], [2, 8], [2, 5], [6, 7], [2, 1], [7, 4], [5, 2], [8, 5], [7, 6], [8, 2], [2, 2], [5, 1], [8, 6]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 6], [6, 3], [5, 6], [6, 5], [3, 7], [3, 5], [1, 8], [3, 4], [3, 8], [5, 8], [5, 7], [4, 7], [1, 5], [7, 8], [3, 1], [6, 1], [1, 7], [8, 3], [1, 6], [7, 2], [8, 1], [7, 1], [1, 1], [1, 2], [1, 4], [7, 7], [8, 4], [8, 7]]]","[27, 32]","[3, 60, 57]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:12,"[[2.146, 2.235, 2.098, 2.245, 2.019, 2.3, 2.619, 2.248, 1.844, 2.078, 2.085, 1.893, 1.713, 1.759, 1.532, 1.483, 1.459, 1.301, 1.247, 1.087, 1.1, 0.927, 1.029, 0.824, 0.0, 0.918, 0.959, 0.567, 0.524], [0.0, 0.0, 0.0, 0.0, 0.0, 6.527, 4.021, 2.426, 3.297, 2.073, 1.398, 1.238, 0.002, 1.014, 1.125, 1.142, 0.936, 0.65, 0.858, 0.876, 0.006, 0.001, 0.298, 0.141, 0.057, 0.035, 0.045, 0.015, 0.004, 0.0, 0.0]]","[[[5, 3], [6, 6], [3, 3], [6, 4], [3, 6], [7, 6], [7, 3], [3, 4], [4, 6], [5, 7], [8, 6], [6, 8], [8, 2], [7, 7], [6, 1], [5, 1], [4, 1], [7, 2], [3, 2], [2, 2], [4, 7], [7, 8], [2, 3], [1, 3], [1, 8], [1, 5], [1, 7], [3, 7], [3, 8]], [[6, 5], [4, 3], [5, 6], [7, 4], [3, 5], [7, 5], [8, 7], [6, 7], [8, 4], [8, 3], [8, 5], [6, 2], [8, 1], [6, 3], [5, 2], [4, 2], [7, 1], [3, 1], [2, 1], [4, 8], [8, 8], [1, 1], [1, 4], [1, 2], [2, 7], [2, 5], [2, 6], [2, 4], [5, 8], [1, 6], [2, 8]]]","[29, 31]","[16, 48, 32]",-1
