Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:14,"[[0.056, 0.086, 0.243, 0.442, 0.242, 0.208, 0.194, 0.366, 0.8, 1.338, 0.986, 1.089, 1.287, 1.104, 1.092, 1.294, 0.704, 0.479, 0.537, 0.305, 0.293, 0.156, 0.134, 0.126, 0.083, 0.047, 0.024, 0.002, 0.0], [0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 3], [3, 6], [2, 3], [1, 6], [1, 4], [3, 2], [6, 6], [7, 3], [4, 7], [5, 3], [2, 4], [7, 6], [1, 2], [8, 4], [8, 2], [1, 7], [5, 8], [6, 7], [7, 4], [8, 7], [7, 2], [5, 7], [6, 1], [4, 1], [2, 1], [4, 2], [2, 8], [2, 7]], [[3, 4], [4, 6], [6, 4], [2, 5], [1, 5], [3, 3], [2, 6], [4, 3], [6, 5], [4, 8], [3, 1], [8, 3], [1, 3], [7, 5], [8, 6], [5, 6], [3, 7], [6, 8], [3, 8], [8, 5], [7, 8], [6, 2], [8, 1], [8, 8], [5, 1], [5, 2], [7, 7], [1, 8], [1, 1], [7, 1], [2, 2]]]","[29, 31]","[13, 51, 38]",-1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:11,"[[0.075, 0.172, 0.195, 0.282, 0.451, 0.338, 0.673, 0.562, 0.471, 0.557, 1.297, 0.002, 1.363, 0.979, 0.557, 0.52, 0.405, 0.434, 0.314, 0.0, 0.121, 0.188, 0.208, 0.001, 0.09, 0.055, 0.016, 0.008, 0.002, 0.0], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0]]","[[[4, 3], [2, 5], [6, 3], [5, 2], [6, 1], [6, 4], [4, 1], [4, 2], [5, 6], [3, 6], [2, 7], [1, 8], [4, 8], [2, 1], [1, 5], [2, 6], [6, 2], [1, 7], [1, 3], [8, 1], [6, 8], [5, 7], [2, 3], [1, 1], [7, 2], [8, 5], [8, 4], [8, 6], [8, 7], [8, 8]], [[5, 3], [3, 4], [4, 6], [3, 2], [5, 1], [3, 3], [3, 5], [6, 5], [1, 6], [6, 6], [4, 7], [3, 8], [7, 4], [3, 1], [5, 8], [1, 4], [7, 3], [3, 7], [2, 4], [7, 1], [2, 8], [6, 7], [2, 2], [1, 2], [8, 2], [8, 3], [7, 5], [7, 6], [7, 7], [7, 8]]]","[30, 30]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:11,"[[0.093, 0.232, 0.222, 0.27, 0.393, 0.733, 1.108, 0.629, 0.546, 0.818, 0.716, 0.782, 0.531, 0.573, 0.655, 0.337, 0.744, 0.371, 0.38, 0.319, 0.245, 0.172, 0.092, 0.0, 0.0, 0.0, 0.013, 0.005, 0.0, 0.0, 0.0], [0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 3], [6, 6], [2, 3], [3, 5], [6, 3], [2, 6], [3, 2], [3, 1], [5, 1], [7, 4], [6, 1], [8, 5], [1, 4], [1, 2], [5, 3], [5, 2], [7, 5], [2, 4], [3, 7], [6, 8], [3, 8], [7, 7], [8, 8], [1, 1], [1, 8], [8, 7], [8, 2], [8, 1], [1, 7], [1, 5]], [[3, 4], [5, 6], [4, 3], [3, 6], [1, 3], [6, 4], [6, 2], [4, 1], [2, 5], [6, 5], [8, 4], [4, 7], [8, 3], [1, 6], [8, 6], [4, 2], [7, 3], [6, 7], [7, 6], [4, 8], [5, 8], [5, 7], [7, 8], [2, 2], [2, 8], [2, 7], [2, 1], [7, 2], [7, 1]]]","[31, 29]","[43, 21, 22]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:10,"[[0.052, 0.133, 0.151, 0.312, 0.472, 0.829, 0.603, 0.736, 0.654, 0.528, 0.476, 0.532, 1.019, 0.711, 0.745, 0.543, 0.455, 0.378, 0.221, 0.227, 0.204, 0.17, 0.078, 0.076, 0.051, 0.013, 0.011, 0.002, 0.0, 0.0], [0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 7], [6, 3], [4, 3], [3, 4], [5, 2], [4, 2], [3, 2], [3, 1], [6, 1], [6, 6], [4, 6], [8, 6], [8, 7], [6, 7], [7, 2], [8, 3], [7, 7], [2, 4], [1, 5], [5, 8], [1, 2], [2, 5], [1, 7], [7, 4], [7, 8], [2, 8], [2, 7], [2, 2], [8, 2]], [[6, 4], [5, 6], [3, 5], [5, 7], [5, 3], [3, 3], [5, 1], [3, 8], [4, 1], [6, 2], [7, 6], [7, 5], [3, 6], [8, 4], [7, 3], [6, 8], [8, 1], [8, 5], [8, 8], [1, 3], [1, 4], [4, 8], [2, 3], [2, 6], [1, 6], [1, 1], [1, 8], [2, 1], [3, 7], [7, 1]]]","[30, 30]","[28, 36, 8]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:10,"[[0.068, 0.106, 0.271, 0.157, 0.381, 0.379, 0.914, 1.106, 0.939, 0.811, 0.71, 0.587, 0.562, 0.417, 0.43, 0.479, 0.523, 0.321, 0.23, 0.331, 0.0, 0.188, 0.235, 0.11, 0.062, 0.0, 0.014, 0.01, 0.001, 0.0], [0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 3], [6, 6], [3, 3], [3, 6], [2, 3], [6, 7], [4, 1], [2, 1], [2, 5], [5, 8], [7, 8], [4, 8], [2, 6], [6, 4], [7, 5], [8, 4], [8, 7], [1, 6], [5, 2], [8, 8], [7, 4], [7, 1], [1, 4], [1, 2], [1, 8], [3, 8], [4, 2], [7, 2], [8, 2]], [[5, 6], [5, 3], [3, 4], [3, 5], [2, 4], [5, 7], [3, 2], [3, 1], [1, 3], [1, 5], [6, 8], [4, 7], [6, 5], [3, 7], [7, 6], [8, 5], [8, 6], [7, 3], [7, 7], [4, 3], [6, 1], [5, 1], [8, 3], [6, 2], [2, 7], [1, 7], [1, 1], [8, 1], [2, 2], [2, 8]]]","[30, 30]","[40, 24, 16]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.061, 0.156, 0.258, 0.408, 0.205, 0.076, 0.151, 0.116, 0.001, 0.183, 0.188, 0.169, 0.098, 0.098, 0.104, 0.117, 0.103, 0.225, 0.215, 0.315, 0.0, 0.187, 0.095, 0.182, 0.064, 0.031, 0.0, 0.013, 0.005, 0.001, 0.0], [0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [2, 5], [3, 6], [1, 6], [1, 4], [4, 7], [3, 8], [5, 8], [1, 8], [5, 6], [1, 2], [7, 6], [7, 7], [8, 7], [8, 5], [7, 4], [2, 3], [2, 4], [6, 4], [6, 6], [8, 8], [8, 6], [4, 2], [3, 1], [5, 1], [5, 2], [1, 1], [7, 1], [8, 2], [6, 2], [7, 2]], [[5, 3], [3, 4], [3, 5], [1, 5], [3, 3], [3, 7], [5, 7], [2, 7], [1, 7], [1, 3], [6, 7], [7, 8], [7, 5], [7, 3], [4, 6], [4, 8], [6, 5], [6, 8], [2, 6], [2, 8], [3, 2], [4, 1], [6, 3], [2, 2], [6, 1], [8, 4], [8, 3], [8, 1], [2, 1]]]","[31, 29]","[42, 22, 20]",1
"[1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:11,"[[0.068, 0.148, 0.212, 0.338, 0.492, 0.687, 0.566, 0.863, 1.019, 0.769, 0.596, 1.433, 0.815, 0.001, 0.654, 0.523, 0.286, 0.265, 0.253, 0.238, 0.204, 0.26, 0.144, 0.077, 0.0, 0.025, 0.0, 0.008, 0.0, 0.0], [0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 3], [3, 3], [3, 6], [6, 7], [3, 7], [7, 6], [7, 5], [5, 7], [5, 2], [5, 3], [6, 2], [7, 7], [8, 8], [4, 1], [4, 8], [8, 5], [3, 8], [7, 3], [7, 4], [1, 4], [1, 2], [3, 2], [1, 6], [1, 8], [8, 2], [1, 1], [7, 2], [8, 1], [2, 7]], [[3, 4], [5, 6], [4, 3], [4, 6], [6, 5], [6, 6], [6, 8], [6, 4], [5, 8], [8, 6], [5, 1], [6, 1], [7, 8], [4, 2], [3, 1], [4, 7], [8, 4], [2, 4], [8, 3], [2, 6], [1, 3], [2, 3], [2, 5], [1, 7], [8, 7], [2, 2], [2, 1], [7, 1], [2, 8], [1, 5]]]","[30, 30]","[48, 16, 32]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:08,"[[0.051, 0.101, 0.187, 0.222, 0.193, 0.222, 0.629, 0.802, 0.659, 0.712, 0.43, 0.462, 0.425, 0.438, 0.698, 0.393, 0.411, 0.27, 0.085, 0.095, 0.0, 0.15, 0.089, 0.058, 0.0, 0.0, 0.009, 0.006, 0.0, 0.0], [0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [3, 6], [1, 3], [1, 5], [5, 6], [6, 3], [2, 5], [1, 7], [4, 7], [2, 6], [6, 5], [4, 8], [6, 7], [5, 2], [7, 5], [7, 6], [4, 2], [8, 4], [8, 7], [7, 4], [1, 8], [8, 2], [2, 8], [7, 8], [8, 1], [8, 8], [6, 1], [3, 1], [1, 1], [1, 2]], [[3, 5], [5, 3], [2, 4], [1, 4], [4, 6], [5, 7], [6, 4], [1, 6], [6, 2], [5, 8], [3, 7], [6, 6], [3, 8], [6, 8], [4, 3], [8, 5], [5, 1], [4, 1], [8, 6], [2, 7], [3, 3], [8, 3], [7, 3], [2, 3], [7, 2], [7, 7], [7, 1], [3, 2], [2, 1], [2, 2]]]","[30, 30]","[49, 15, 34]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:15,"[[0.073, 0.149, 0.291, 0.393, 0.544, 1.014, 1.061, 0.738, 1.03, 1.512, 1.022, 0.837, 1.13, 0.972, 0.72, 1.039, 0.753, 0.59, 0.361, 0.0, 0.295, 0.0, 0.176, 0.093, 0.099, 0.042, 0.009, 0.004, 0.001, 0.0, 0.0], [0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [4, 6], [5, 6], [5, 7], [7, 4], [4, 7], [5, 8], [8, 5], [7, 5], [3, 3], [3, 7], [7, 6], [2, 4], [2, 3], [2, 6], [1, 6], [7, 3], [8, 8], [1, 2], [1, 8], [8, 2], [2, 2], [2, 8], [6, 1], [2, 1], [4, 2], [5, 2], [8, 1], [7, 2]], [[4, 3], [6, 5], [3, 5], [6, 6], [6, 7], [6, 8], [5, 3], [4, 8], [8, 4], [8, 6], [6, 2], [3, 4], [3, 8], [8, 3], [1, 4], [1, 3], [1, 5], [2, 5], [7, 8], [8, 7], [2, 7], [7, 7], [1, 7], [1, 1], [3, 1], [3, 2], [4, 1], [5, 1], [7, 1]]]","[31, 29]","[47, 17, 30]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:06,"[[0.059, 0.094, 0.19, 0.231, 0.191, 0.26, 0.197, 0.594, 0.886, 0.562, 0.599, 0.001, 0.37, 0.24, 0.301, 0.27, 0.0, 0.248, 0.185, 0.137, 0.083, 0.092, 0.105, 0.095, 0.062, 0.03, 0.003, 0.0, 0.0, 0.0, 0.0], [0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 3], [3, 1], [5, 1], [6, 5], [3, 3], [7, 5], [3, 4], [6, 1], [6, 2], [8, 3], [8, 1], [7, 2], [5, 6], [2, 1], [2, 4], [1, 1], [1, 5], [1, 2], [2, 5], [3, 6], [8, 6], [7, 7], [1, 6], [6, 8], [3, 8], [5, 8], [8, 8], [1, 8], [4, 8], [2, 8]], [[5, 3], [3, 5], [4, 2], [4, 1], [6, 4], [7, 3], [6, 6], [8, 5], [5, 2], [7, 4], [3, 2], [7, 1], [8, 4], [8, 2], [4, 6], [2, 2], [1, 3], [2, 3], [1, 4], [2, 6], [7, 6], [6, 7], [5, 7], [3, 7], [4, 7], [7, 8], [8, 7], [2, 7], [1, 7]]]","[31, 29]","[53, 11, 42]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:16,"[[0.072, 0.141, 0.235, 0.426, 0.554, 1.014, 1.066, 1.3, 1.285, 1.403, 1.089, 0.919, 1.095, 0.8, 0.946, 0.693, 0.448, 0.43, 0.434, 0.29, 0.385, 0.268, 0.121, 0.062, 0.026, 0.0, 0.007, 0.0, 0.0, 0.0], [0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 6], [6, 3], [7, 3], [3, 4], [6, 2], [3, 5], [6, 6], [6, 1], [8, 4], [4, 1], [4, 2], [2, 1], [7, 6], [5, 2], [3, 2], [2, 5], [2, 3], [1, 4], [5, 7], [6, 8], [3, 8], [2, 2], [1, 6], [8, 7], [8, 1], [7, 8], [1, 8], [2, 8], [1, 2]], [[4, 3], [6, 5], [6, 4], [4, 6], [8, 3], [5, 1], [2, 6], [5, 6], [3, 3], [8, 5], [7, 4], [3, 1], [6, 7], [8, 6], [7, 5], [8, 2], [1, 5], [1, 3], [2, 4], [4, 8], [5, 8], [4, 7], [7, 2], [3, 7], [8, 8], [1, 1], [2, 7], [1, 7], [7, 1], [7, 7]]]","[30, 30]","[31, 33, 2]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]",00:08,"[[0.073, 0.091, 0.212, 0.235, 0.18, 0.279, 0.553, 0.639, 0.346, 0.617, 0.296, 0.67, 0.392, 0.461, 0.531, 0.763, 0.478, 0.257, 0.209, 0.197, 0.0, 0.122, 0.0, 0.075, 0.066, 0.041, 0.019, 0.0, 0.0, 0.0, 0.0], [0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [3, 6], [1, 3], [1, 5], [5, 6], [6, 6], [7, 8], [5, 8], [5, 7], [3, 8], [2, 5], [1, 7], [7, 4], [2, 3], [7, 5], [2, 8], [8, 5], [3, 3], [1, 2], [6, 2], [1, 1], [5, 2], [1, 8], [7, 7], [5, 1], [8, 7], [7, 3], [8, 1], [2, 1], [7, 1], [3, 2]], [[3, 5], [5, 3], [2, 4], [1, 4], [4, 6], [6, 7], [6, 5], [6, 8], [4, 7], [4, 8], [2, 6], [1, 6], [3, 7], [6, 4], [4, 3], [8, 4], [8, 6], [7, 6], [2, 2], [2, 7], [6, 3], [6, 1], [8, 3], [4, 1], [4, 2], [8, 8], [3, 1], [7, 2], [8, 2]]]","[31, 29]","[55, 9, 46]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]",00:13,"[[0.078, 0.184, 0.349, 0.203, 0.404, 0.246, 0.656, 0.655, 1.831, 1.934, 1.451, 0.961, 0.651, 0.437, 0.746, 0.445, 0.495, 0.47, 0.388, 0.208, 0.0, 0.136, 0.0, 0.098, 0.059, 0.036, 0.017, 0.0, 0.001, 0.0], [0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 3], [6, 6], [3, 3], [3, 6], [4, 3], [3, 2], [3, 1], [3, 7], [5, 1], [1, 4], [1, 3], [4, 8], [4, 2], [2, 5], [6, 2], [7, 1], [8, 4], [8, 2], [1, 6], [1, 1], [7, 6], [8, 1], [7, 5], [6, 8], [8, 5], [2, 2], [1, 8], [2, 8], [8, 8]], [[5, 6], [5, 3], [3, 4], [3, 5], [7, 3], [2, 3], [4, 1], [4, 7], [6, 5], [2, 4], [3, 8], [2, 6], [5, 8], [6, 7], [1, 5], [6, 1], [5, 2], [8, 3], [5, 7], [2, 1], [7, 2], [6, 4], [8, 6], [7, 4], [7, 8], [1, 2], [2, 7], [1, 7], [7, 7], [8, 7]]]","[30, 30]","[46, 18, 28]",1
