Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:30,"[[0.167, 0.131, 0.861, 1.166, 1.578, 0.965, 1.316, 1.414, 1.518, 1.21, 1.146, 1.605, 0.618, 0.879, 0.594, 0.558, 0.323, 0.0, 0.311, 0.001, 0.007, 0.001, 0.141, 0.004, 0.138, 0.062, 0.002, 0.022, 0.01, 0.006, 0.001, 0.0], [0.507, 0.766, 1.103, 1.014, 0.972, 0.694, 0.804, 0.717, 0.722, 0.586, 0.65, 0.765, 0.524, 0.508, 0.473, 0.341, 0.343, 0.279, 0.277, 0.205, 0.206, 0.225, 0.194, 0.178, 0.184, 0.156, 0.108, 0.061]]","[[[4, 6], [3, 5], [6, 3], [6, 4], [6, 5], [6, 7], [3, 7], [4, 7], [7, 6], [3, 3], [7, 3], [2, 4], [7, 4], [1, 6], [1, 4], [3, 4], [1, 7], [1, 3], [5, 8], [7, 8], [1, 8], [4, 8], [1, 2], [1, 1], [5, 1], [8, 6], [8, 8], [8, 2], [3, 1], [3, 2], [7, 1], [8, 1]], [[3, 6], [5, 6], [5, 3], [7, 5], [2, 6], [6, 6], [3, 8], [6, 8], [8, 5], [6, 2], [4, 3], [8, 4], [2, 3], [1, 5], [8, 3], [2, 7], [2, 5], [5, 7], [2, 8], [2, 2], [4, 2], [4, 1], [7, 7], [8, 7], [6, 1], [5, 2], [2, 1], [7, 2]]]","[32, 28]","[50, 14, 36]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0]",00:18,"[[0.176, 0.374, 0.846, 0.267, 0.334, 0.312, 0.683, 0.517, 0.003, 0.484, 0.816, 0.002, 0.002, 0.199, 0.592, 0.105, 0.005, 0.206, 0.003, 0.003, 0.002, 0.001, 0.086, 0.002, 0.032, 0.02, 0.001, 0.0, 0.003, 0.0], [0.883, 0.937, 1.121, 1.2, 0.989, 0.829, 1.011, 0.687, 0.641, 0.472, 0.509, 0.365, 0.421, 0.268, 0.501, 0.308, 0.216, 0.271, 0.202, 0.251, 0.158]]","[[[6, 5], [6, 3], [7, 3], [8, 6], [5, 3], [8, 4], [6, 1], [8, 2], [4, 1], [3, 3], [2, 1], [2, 4], [1, 1], [5, 2], [2, 3], [4, 3], [8, 1], [1, 4], [7, 1], [1, 3], [1, 5], [1, 6], [4, 7], [1, 8], [6, 6], [3, 5], [1, 7], [5, 6], [3, 8], [5, 8]], [[6, 4], [3, 6], [7, 4], [7, 5], [6, 2], [8, 5], [4, 2], [8, 3], [5, 1], [3, 1], [2, 2], [3, 2], [7, 2], [1, 2], [2, 5], [3, 4], [2, 7], [4, 6], [2, 6], [4, 8], [2, 8]]]","[30, 21]","[54, 1, 53]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",00:21,"[[0.138, 0.156, 0.217, 0.303, 0.859, 0.738, 0.838, 1.201, 1.346, 0.548, 0.433, 0.006, 0.288, 0.41, 0.004, 0.365, 0.343, 0.303, 0.285, 0.001, 0.002, 0.002, 0.001, 0.1, 0.001, 0.001, 0.073, 0.0, 0.011, 0.0, 0.0], [0.645, 0.765, 0.676, 0.598, 0.726, 0.663, 0.716, 0.921, 0.6, 0.782, 0.948, 0.615, 0.462, 0.51, 0.332, 0.422, 0.355, 0.364, 0.36, 0.236, 0.0, 0.147]]","[[[5, 3], [3, 6], [4, 3], [2, 3], [6, 3], [2, 1], [7, 3], [4, 2], [1, 3], [4, 1], [6, 1], [1, 8], [6, 4], [1, 5], [1, 1], [2, 4], [2, 6], [1, 6], [3, 7], [2, 2], [4, 6], [7, 1], [7, 2], [4, 7], [2, 8], [4, 8], [8, 2], [7, 6], [6, 7], [5, 8], [8, 7]], [[6, 5], [3, 3], [3, 2], [1, 4], [5, 2], [7, 4], [3, 4], [5, 6], [3, 1], [5, 1], [2, 7], [8, 3], [3, 5], [1, 2], [6, 2], [7, 5], [2, 5], [1, 7], [3, 8], [5, 7], [8, 1], [7, 7]]]","[31, 22]","[51, 6, 45]",1
"[1.0, 1.0, 1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:27,"[[0.205, 0.323, 0.329, 0.845, 1.379, 0.397, 1.16, 0.589, 0.845, 0.009, 0.006, 0.613, 0.725, 0.956, 0.256, 0.001, 0.193, 0.001, 0.129, 0.203, 0.155, 0.111, 0.071, 0.075, 0.001, 0.036, 0.0, 0.012, 0.009, 0.002, 0.0], [0.737, 0.872, 0.856, 0.952, 1.062, 1.341, 1.173, 0.962, 1.666, 0.858, 0.68, 0.705, 0.74, 0.721, 0.591, 0.407, 0.394, 0.341, 0.373, 0.423, 0.309, 0.204, 0.23, 0.229, 0.16, 0.164, 0.122, 0.0]]","[[[6, 5], [6, 3], [7, 4], [6, 6], [8, 6], [7, 3], [5, 6], [6, 1], [8, 4], [8, 8], [8, 1], [6, 8], [8, 5], [7, 7], [4, 1], [5, 2], [4, 6], [4, 8], [3, 3], [3, 8], [4, 3], [3, 1], [2, 1], [2, 7], [1, 8], [1, 6], [1, 5], [2, 5], [1, 2], [2, 4], [2, 2]], [[6, 4], [7, 6], [3, 5], [5, 3], [7, 5], [8, 3], [6, 2], [8, 2], [6, 7], [8, 7], [7, 2], [5, 7], [5, 8], [7, 1], [5, 1], [7, 8], [4, 7], [3, 4], [3, 2], [4, 2], [3, 6], [3, 7], [2, 8], [1, 7], [2, 6], [2, 3], [1, 3], [1, 1]]]","[31, 28]","[56, 7, 49]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:39,"[[0.137, 0.228, 0.866, 1.137, 0.706, 0.653, 1.484, 1.614, 1.471, 1.406, 1.127, 0.826, 1.882, 0.973, 2.785, 1.096, 0.539, 0.451, 0.716, 0.528, 0.234, 0.164, 0.005, 0.004, 0.082, 0.043, 0.021, 0.001, 0.001, 0.0], [0.576, 0.705, 0.999, 1.134, 0.968, 1.046, 1.211, 1.105, 0.986, 0.768, 0.667, 1.118, 0.606, 0.724, 0.639, 0.589, 0.462, 0.461, 0.52, 0.452, 0.399, 0.379, 0.273, 0.231, 0.166, 0.175, 0.173, 0.145, 0.095, 0.0]]","[[[3, 5], [4, 6], [6, 4], [6, 5], [3, 3], [6, 6], [8, 4], [7, 6], [7, 5], [3, 7], [5, 7], [3, 4], [2, 6], [6, 2], [8, 2], [1, 2], [8, 7], [1, 4], [4, 8], [5, 8], [4, 1], [4, 2], [8, 8], [8, 1], [4, 7], [1, 7], [5, 1], [1, 8], [3, 1], [1, 1]], [[3, 6], [5, 6], [5, 3], [4, 3], [7, 3], [7, 4], [6, 7], [6, 3], [2, 3], [8, 3], [8, 6], [2, 5], [3, 8], [6, 8], [1, 6], [8, 5], [1, 3], [2, 4], [5, 2], [6, 1], [7, 7], [3, 2], [7, 2], [7, 8], [1, 5], [7, 1], [2, 7], [2, 8], [2, 1], [2, 2]]]","[30, 30]","[42, 22, 20]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0]",00:14,"[[0.2, 0.1, 0.325, 0.003, 0.256, 0.269, 0.612, 0.492, 0.161, 0.003, 0.003, 0.211, 0.534, 0.002, 0.289, 0.002, 0.231, 0.003, 0.126, 0.104, 0.142, 0.005, 0.002, 0.0, 0.051, 0.0, 0.0, 0.0, 0.01, 0.0], [0.768, 0.847, 0.91, 1.122, 0.738, 0.533, 0.757, 0.583, 0.651, 0.574, 0.462, 0.44, 0.0, 0.308, 0.263, 0.247, 0.264, 0.265, 0.198, 0.167]]","[[[5, 6], [3, 6], [2, 6], [1, 8], [4, 8], [3, 5], [1, 4], [1, 5], [1, 7], [3, 8], [5, 8], [3, 3], [2, 3], [1, 2], [2, 2], [3, 4], [2, 1], [3, 2], [4, 2], [6, 8], [7, 7], [8, 8], [8, 6], [7, 6], [6, 6], [7, 5], [7, 4], [5, 1], [5, 2], [7, 1]], [[4, 6], [6, 4], [2, 7], [3, 7], [5, 7], [1, 6], [2, 5], [2, 4], [2, 8], [4, 7], [1, 3], [4, 3], [1, 1], [3, 1], [5, 3], [6, 7], [7, 8], [8, 7], [6, 5], [6, 2]]]","[30, 20]","[51, 3, 48]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",00:25,"[[0.164, 0.356, 0.521, 0.645, 1.06, 0.892, 0.848, 1.128, 0.275, 0.412, 0.655, 0.007, 0.43, 0.284, 0.461, 0.379, 0.285, 0.002, 0.161, 0.184, 0.25, 0.284, 0.129, 0.154, 0.056, 0.013, 0.014, 0.006, 0.0, 0.0], [0.809, 0.783, 0.682, 1.034, 0.981, 0.742, 0.768, 0.755, 0.704, 0.713, 0.833, 0.769, 0.524, 0.438, 0.466, 0.394, 0.302, 0.308, 0.386, 0.288, 0.464, 0.262, 0.274, 0.244, 0.237, 0.195, 0.0, 0.18, 0.134, 0.0]]","[[[3, 5], [4, 3], [4, 2], [2, 6], [3, 3], [4, 1], [5, 3], [3, 1], [6, 4], [6, 3], [7, 3], [8, 1], [7, 1], [8, 3], [2, 3], [1, 3], [1, 5], [1, 1], [3, 7], [1, 7], [7, 5], [2, 2], [8, 5], [7, 7], [8, 6], [5, 8], [2, 8], [7, 8], [1, 8], [6, 7]], [[3, 4], [3, 2], [3, 6], [6, 5], [5, 2], [2, 5], [6, 2], [1, 6], [7, 4], [7, 2], [6, 1], [8, 4], [5, 1], [2, 4], [1, 2], [1, 4], [8, 2], [2, 1], [4, 7], [3, 8], [6, 6], [4, 6], [5, 6], [7, 6], [5, 7], [4, 8], [8, 8], [2, 7], [6, 8], [8, 7]]]","[30, 30]","[42, 22, 20]",1
"[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:36,"[[0.194, 0.332, 0.442, 0.848, 0.757, 0.902, 1.944, 1.972, 2.027, 1.172, 0.006, 1.451, 1.035, 0.701, 0.973, 0.499, 0.007, 0.33, 0.225, 0.003, 0.003, 0.006, 0.115, 0.001, 0.073, 0.001, 0.0, 0.037, 0.001, 0.019, 0.004, 0.001, 0.0], [0.706, 0.766, 0.716, 1.339, 1.082, 0.798, 0.731, 1.184, 1.46, 1.889, 1.25, 1.058, 1.26, 1.088, 0.87, 0.743, 0.552, 0.499, 0.389, 0.342, 0.201, 0.0, 0.175, 0.142, 0.123, 0.104, 0.083]]","[[[6, 5], [6, 3], [6, 7], [3, 6], [3, 3], [4, 3], [5, 6], [7, 5], [5, 7], [7, 6], [1, 8], [2, 4], [8, 5], [8, 3], [7, 3], [6, 1], [8, 1], [3, 8], [8, 7], [8, 4], [8, 2], [8, 8], [2, 2], [5, 1], [4, 1], [3, 1], [2, 1], [1, 2], [2, 3], [5, 8], [3, 7], [1, 7], [1, 5]], [[6, 4], [6, 6], [5, 3], [3, 5], [7, 4], [3, 4], [4, 6], [6, 8], [6, 2], [2, 7], [8, 6], [5, 2], [4, 8], [2, 6], [3, 2], [1, 4], [7, 1], [2, 8], [7, 2], [7, 7], [7, 8], [1, 1], [4, 2], [1, 3], [4, 7], [2, 5], [1, 6]]]","[33, 27]","[49, 15, 34]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:24,"[[0.167, 0.217, 0.242, 0.737, 0.358, 0.611, 0.783, 1.047, 1.296, 1.064, 0.629, 0.362, 0.501, 0.475, 0.344, 0.245, 0.473, 0.375, 0.007, 0.208, 0.153, 0.001, 0.089, 0.0, 0.001, 0.002, 0.045, 0.038, 0.014, 0.003, 0.0, 0.0], [0.724, 0.642, 0.855, 0.596, 0.709, 0.688, 0.796, 0.862, 0.691, 0.679, 0.594, 0.658, 0.621, 0.528, 0.482, 0.439, 0.446, 0.418, 0.389, 0.32, 0.227, 0.0, 0.18, 0.142, 0.186, 0.112, 0.102, 0.113]]","[[[4, 6], [6, 3], [5, 6], [2, 3], [6, 5], [6, 4], [7, 4], [8, 6], [8, 2], [6, 2], [7, 6], [4, 3], [5, 1], [7, 1], [3, 7], [8, 4], [5, 2], [8, 7], [8, 8], [5, 8], [6, 8], [4, 8], [2, 7], [2, 8], [1, 6], [8, 1], [1, 5], [2, 5], [1, 4], [3, 1], [1, 1], [1, 2]], [[3, 4], [6, 6], [3, 6], [5, 3], [7, 3], [7, 5], [3, 3], [3, 5], [1, 3], [6, 1], [8, 5], [6, 7], [3, 2], [4, 2], [8, 3], [3, 8], [4, 7], [7, 7], [7, 8], [5, 7], [7, 2], [1, 8], [2, 6], [1, 7], [2, 4], [4, 1], [2, 2], [2, 1]]]","[32, 28]","[54, 10, 44]",1
"[-1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:20,"[[0.188, 0.261, 0.187, 0.355, 0.001, 0.152, 0.336, 0.003, 0.642, 0.506, 0.824, 0.82, 0.443, 0.497, 0.202, 0.287, 0.144, 0.206, 0.094, 0.001, 0.001, 0.086, 0.056, 0.033, 0.001, 0.046, 0.037, 0.016, 0.005, 0.0], [0.818, 0.904, 0.829, 0.89, 0.722, 0.745, 0.582, 1.02, 1.125, 0.519, 0.616, 0.633, 0.429, 0.355, 0.504, 0.345, 0.259, 0.275, 0.273, 0.243, 0.298, 0.26, 0.133, 0.142, 0.212, 0.248, 0.192, 0.133, 0.0, 0.0]]","[[[3, 4], [3, 6], [3, 3], [1, 3], [1, 1], [6, 6], [4, 6], [1, 8], [2, 5], [1, 5], [2, 4], [1, 7], [2, 2], [5, 7], [3, 8], [5, 8], [6, 8], [3, 1], [5, 1], [4, 2], [8, 8], [6, 3], [8, 3], [6, 1], [8, 1], [7, 7], [7, 6], [8, 4], [6, 2], [8, 5]], [[3, 5], [5, 3], [2, 3], [2, 6], [1, 2], [2, 7], [6, 5], [3, 2], [6, 7], [1, 6], [3, 7], [5, 6], [4, 3], [1, 4], [4, 8], [2, 1], [4, 7], [2, 8], [4, 1], [7, 8], [7, 3], [5, 2], [7, 2], [6, 4], [8, 7], [7, 4], [7, 5], [8, 6], [8, 2], [7, 1]]]","[30, 30]","[47, 17, 30]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",00:21,"[[0.138, 0.305, 0.436, 1.152, 0.656, 0.337, 0.446, 0.833, 0.972, 0.407, 0.003, 0.49, 0.001, 0.002, 0.498, 0.749, 0.185, 0.197, 0.009, 0.169, 0.002, 0.001, 0.127, 0.001, 0.077, 0.0, 0.089, 0.0, 0.039, 0.001, 0.014, 0.004, 0.0, 0.0], [0.839, 0.773, 0.66, 1.005, 1.074, 0.803, 0.824, 1.008, 0.577, 0.73, 0.571, 0.395, 0.462, 0.562, 0.41, 0.392, 0.369, 0.282, 0.232, 0.176, 0.179, 0.188, 0.144, 0.152, 0.147, 0.077]]","[[[5, 3], [3, 4], [3, 3], [3, 1], [4, 2], [5, 6], [6, 6], [4, 6], [5, 1], [1, 4], [1, 1], [2, 2], [1, 2], [2, 4], [3, 7], [5, 2], [7, 3], [7, 4], [8, 1], [6, 1], [8, 2], [6, 4], [8, 5], [8, 4], [2, 5], [5, 7], [1, 7], [1, 5], [6, 8], [8, 8], [8, 6], [4, 8], [1, 8], [2, 8]], [[4, 3], [6, 5], [3, 2], [6, 3], [4, 1], [3, 6], [6, 7], [3, 5], [2, 3], [2, 1], [4, 7], [1, 3], [2, 6], [3, 8], [7, 2], [8, 3], [6, 2], [7, 1], [7, 5], [7, 6], [1, 6], [7, 7], [7, 8], [5, 8], [2, 7], [8, 7]]]","[34, 26]","[55, 9, 46]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:26,"[[0.167, 0.29, 0.653, 0.345, 0.54, 0.9, 0.713, 1.013, 0.726, 0.719, 0.682, 0.37, 0.642, 0.011, 0.01, 0.464, 0.426, 0.325, 0.0, 0.002, 0.186, 0.002, 0.001, 0.143, 0.135, 0.145, 0.001, 0.001, 0.026, 0.005, 0.0, 0.0], [0.595, 0.891, 1.002, 0.877, 0.861, 0.985, 0.905, 1.15, 0.834, 0.853, 1.005, 0.793, 0.619, 0.598, 0.649, 0.531, 0.503, 0.444, 0.365, 0.295, 0.363, 0.329, 0.352, 0.262, 0.232, 0.152, 0.128, 0.084]]","[[[5, 6], [3, 6], [3, 3], [6, 3], [4, 7], [4, 8], [6, 8], [5, 7], [4, 3], [6, 5], [6, 6], [3, 7], [2, 8], [1, 8], [8, 8], [7, 4], [7, 8], [8, 5], [8, 3], [8, 6], [1, 5], [1, 6], [1, 4], [3, 1], [1, 3], [7, 2], [8, 1], [1, 1], [2, 2], [6, 1], [5, 1], [5, 2]], [[4, 6], [6, 7], [2, 6], [5, 3], [7, 3], [5, 8], [3, 4], [3, 5], [3, 2], [6, 4], [4, 2], [7, 6], [3, 8], [2, 7], [7, 7], [8, 7], [8, 4], [1, 7], [7, 5], [2, 5], [2, 3], [6, 2], [8, 2], [1, 2], [2, 4], [7, 1], [4, 1], [2, 1]]]","[32, 28]","[55, 9, 46]",1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:35,"[[0.137, 0.223, 0.938, 0.457, 0.874, 1.111, 1.997, 1.538, 1.674, 1.688, 2.496, 1.496, 1.238, 0.663, 0.545, 0.57, 0.634, 0.484, 0.003, 0.003, 0.163, 0.142, 0.001, 0.002, 0.106, 0.078, 0.066, 0.049, 0.026, 0.011, 0.002, 0.0, 0.0], [0.67, 0.733, 1.404, 0.917, 0.813, 0.957, 1.057, 0.916, 0.716, 1.383, 0.799, 0.768, 0.765, 0.51, 0.445, 0.487, 0.409, 0.0, 0.278, 0.0, 0.245, 0.42, 0.259, 0.0, 0.152, 0.0, 0.109]]","[[[5, 3], [6, 4], [4, 6], [6, 6], [7, 3], [3, 5], [2, 3], [3, 3], [3, 2], [2, 5], [4, 3], [4, 1], [6, 2], [5, 1], [5, 6], [4, 7], [5, 7], [2, 2], [2, 1], [1, 2], [5, 8], [7, 2], [7, 1], [8, 2], [7, 4], [1, 6], [7, 5], [2, 7], [2, 8], [7, 7], [8, 5], [8, 7], [7, 8]], [[6, 3], [6, 5], [5, 2], [3, 4], [3, 6], [6, 7], [2, 4], [4, 2], [8, 3], [1, 4], [1, 3], [3, 1], [6, 1], [3, 7], [2, 6], [3, 8], [6, 8], [1, 1], [4, 8], [8, 1], [8, 4], [1, 5], [7, 6], [1, 8], [1, 7], [8, 8], [8, 6]]]","[33, 27]","[37, 27, 10]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:24,"[[0.189, 0.115, 0.209, 0.645, 0.577, 0.007, 0.657, 0.804, 0.005, 0.408, 0.626, 0.529, 0.539, 0.381, 0.255, 0.23, 0.219, 0.005, 0.121, 0.003, 0.0, 0.001, 0.059, 0.076, 0.071, 0.072, 0.034, 0.032, 0.009, 0.0, 0.001, 0.0], [0.853, 1.175, 0.81, 1.053, 1.229, 1.239, 0.779, 1.037, 0.963, 0.831, 0.548, 0.538, 0.781, 0.812, 0.751, 0.59, 0.394, 0.369, 0.308, 0.288, 0.276, 0.214, 0.196, 0.252, 0.235, 0.158, 0.114, 0.075]]","[[[6, 5], [6, 3], [6, 6], [8, 6], [5, 6], [8, 8], [7, 4], [6, 2], [8, 1], [3, 3], [8, 4], [5, 7], [3, 8], [5, 8], [8, 3], [6, 8], [4, 8], [5, 1], [2, 7], [1, 8], [1, 6], [2, 6], [5, 3], [5, 2], [3, 1], [1, 3], [2, 5], [1, 5], [2, 4], [1, 2], [2, 1], [1, 1]], [[6, 4], [4, 6], [7, 6], [7, 5], [7, 7], [4, 7], [8, 5], [7, 2], [6, 7], [7, 8], [4, 3], [8, 7], [7, 3], [2, 3], [3, 7], [6, 1], [7, 1], [8, 2], [2, 8], [1, 7], [4, 2], [4, 1], [3, 2], [3, 4], [1, 4], [3, 5], [3, 6], [2, 2]]]","[32, 28]","[43, 21, 22]",1
