Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:30,"[[1.991, 2.094, 2.022, 2.123, 2.095, 2.208, 1.885, 1.782, 3.844, 1.832, 1.754, 1.986, 1.329, 1.183, 1.162, 1.066, 0.899, 0.912, 1.091, 0.879, 0.77, 0.769, 0.854, 0.0, 0.614], [0.248, 0.899, 1.563, 3.535, 3.194, 4.903, 6.701, 2.554, 0.961, 2.359, 0.0, 4.632, 4.422, 3.414, 2.657, 2.749, 0.0, 2.135, 1.53, 1.429, 0.889, 1.019, 0.311, 0.235, 0.15, 0.139, 0.056, 0.025, 0.021, 0.005, 0.003, 0.003, 0.0]]","[[[4, 6], [6, 3], [2, 4], [6, 4], [4, 2], [2, 3], [3, 6], [6, 6], [8, 6], [2, 5], [2, 7], [4, 7], [2, 8], [1, 6], [2, 2], [2, 1], [5, 2], [5, 7], [4, 1], [6, 2], [6, 8], [8, 4], [6, 7], [8, 8], [7, 3]], [[5, 6], [3, 4], [4, 3], [6, 5], [3, 3], [3, 5], [5, 3], [7, 5], [1, 4], [2, 6], [1, 8], [1, 3], [1, 5], [1, 7], [3, 8], [1, 2], [1, 1], [3, 7], [3, 2], [3, 1], [4, 8], [6, 1], [5, 1], [7, 1], [7, 2], [5, 8], [8, 5], [7, 8], [7, 6], [8, 7], [7, 7], [7, 4], [8, 2]]]","[25, 33]","[6, 56, 50]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:33,"[[2.145, 1.977, 2.135, 2.042, 2.486, 2.157, 2.024, 1.722, 2.008, 1.858, 1.907, 1.858, 1.529, 1.668, 1.554, 1.538, 1.516, 1.3, 1.132, 1.122, 1.026, 1.008, 1.056, 0.925, 1.16, 1.248, 0.939, 0.733, 0.613, 0.0], [0.179, 0.421, 2.212, 1.78, 3.102, 3.641, 3.654, 6.368, 7.641, 9.437, 9.655, 15.398, 8.469, 7.632, 5.336, 6.231, 4.48, 4.408, 2.094, 2.969, 1.935, 0.954, 0.627, 0.0, 0.3, 0.0, 0.041, 0.01, 0.0, 0.0]]","[[[3, 6], [5, 6], [3, 4], [7, 6], [6, 4], [3, 2], [1, 3], [5, 7], [3, 8], [6, 2], [3, 7], [7, 5], [6, 8], [1, 6], [8, 5], [7, 4], [7, 3], [4, 2], [5, 3], [5, 8], [1, 5], [7, 7], [2, 3], [7, 2], [5, 2], [3, 1], [7, 1], [2, 2], [2, 7], [2, 1]], [[3, 5], [4, 6], [6, 6], [3, 3], [2, 4], [2, 6], [4, 7], [2, 5], [4, 3], [6, 3], [6, 5], [1, 4], [6, 7], [1, 2], [8, 6], [8, 4], [8, 3], [8, 7], [4, 8], [2, 8], [7, 8], [1, 7], [8, 2], [8, 8], [4, 1], [8, 1], [6, 1], [5, 1], [1, 1], [1, 8]]]","[30, 30]","[20, 44, 24]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:38,"[[2.248, 2.199, 2.489, 2.172, 2.046, 2.582, 2.272, 2.199, 1.994, 2.052, 2.292, 1.867, 1.976, 1.85, 2.071, 1.983, 0.0, 1.742, 1.566, 1.255, 1.742, 1.533, 1.462, 1.232, 1.177, 1.117, 0.933, 0.906, 0.772, 0.0], [0.314, 1.017, 1.828, 3.177, 4.736, 7.81, 7.061, 5.557, 8.534, 10.18, 6.743, 7.451, 9.896, 7.592, 4.658, 8.739, 4.515, 2.365, 2.054, 1.655, 1.381, 0.557, 0.276, 0.0, 0.163, 0.048, 0.0, 0.0, 0.001, 0.0]]","[[[6, 4], [7, 6], [4, 2], [3, 4], [5, 2], [3, 5], [8, 5], [6, 7], [5, 7], [1, 3], [3, 2], [1, 4], [5, 1], [7, 4], [3, 1], [4, 6], [8, 8], [3, 6], [2, 6], [7, 8], [8, 7], [8, 4], [7, 3], [7, 1], [4, 7], [4, 8], [1, 7], [2, 2], [3, 7], [2, 8]], [[6, 5], [5, 3], [4, 3], [3, 3], [6, 3], [7, 5], [5, 6], [6, 6], [2, 4], [6, 1], [2, 3], [7, 7], [6, 2], [4, 1], [2, 5], [6, 8], [2, 1], [1, 6], [1, 5], [8, 6], [1, 2], [7, 2], [8, 3], [8, 1], [5, 8], [8, 2], [1, 8], [1, 1], [2, 7], [3, 8]]]","[30, 30]","[26, 38, 12]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:20,"[[2.457, 2.224, 1.911, 1.954, 1.949, 1.858, 2.014, 1.936, 2.008, 2.073, 1.932, 1.919, 2.049, 2.697, 2.365, 1.423, 1.827, 1.682, 1.5, 1.493, 1.406, 1.57, 0.809, 0.776, 0.667, 0.748, 0.591, 0.77, 0.0], [0.268, 0.579, 0.833, 1.36, 3.177, 5.228, 5.365, 4.458, 3.781, 6.349, 3.784, 6.147, 9.609, 13.908, 0.0, 10.403, 4.165, 3.599, 4.42, 2.626, 1.856, 0.0, 0.573, 0.253, 0.245, 0.105, 0.0, 0.022, 0.0, 0.004, 0.0]]","[[[5, 6], [2, 5], [3, 3], [2, 3], [2, 6], [1, 5], [4, 3], [3, 1], [1, 4], [7, 5], [7, 4], [3, 7], [5, 2], [2, 7], [8, 6], [5, 3], [7, 1], [5, 8], [3, 8], [5, 7], [7, 8], [7, 3], [8, 5], [8, 2], [2, 2], [4, 2], [2, 1], [6, 1], [4, 1]], [[3, 5], [6, 3], [3, 6], [3, 4], [4, 6], [2, 4], [3, 2], [1, 3], [6, 5], [1, 6], [7, 6], [4, 7], [6, 6], [6, 4], [1, 8], [2, 8], [6, 2], [8, 3], [4, 8], [6, 8], [6, 7], [8, 8], [7, 7], [8, 4], [1, 7], [1, 2], [1, 1], [8, 7], [8, 1], [7, 2], [5, 1]]]","[29, 31]","[15, 49, 34]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:07,"[[2.209, 2.031, 2.333, 2.29, 2.826, 2.545, 2.691, 2.344, 1.967, 1.806, 1.762, 1.955, 1.95, 1.845, 1.5, 1.592, 1.483, 1.212, 1.126, 1.189, 1.02, 0.881, 0.9, 0.793, 0.73, 0.736, 0.613, 0.681, 0.0], [0.284, 1.014, 1.783, 3.188, 6.375, 4.009, 11.63, 7.801, 6.991, 6.589, 7.269, 6.985, 4.955, 4.439, 1.456, 1.251, 1.201, 0.0, 1.661, 1.512, 1.028, 0.704, 0.0, 0.249, 0.0, 0.101, 0.0, 0.03, 0.016, 0.002, 0.0]]","[[[3, 5], [6, 3], [3, 6], [6, 6], [4, 3], [6, 4], [3, 8], [1, 4], [5, 8], [2, 4], [5, 7], [6, 2], [2, 2], [3, 2], [2, 6], [6, 8], [8, 6], [7, 4], [2, 1], [5, 2], [5, 1], [2, 7], [2, 8], [7, 1], [7, 7], [8, 7], [7, 3], [8, 3], [8, 2]], [[3, 4], [4, 6], [5, 6], [6, 5], [3, 3], [4, 7], [2, 5], [4, 8], [3, 7], [5, 3], [2, 3], [1, 6], [1, 3], [1, 5], [6, 7], [1, 2], [7, 5], [1, 1], [3, 1], [4, 2], [1, 7], [4, 1], [1, 8], [6, 1], [8, 1], [7, 8], [8, 8], [7, 6], [7, 2], [8, 5], [8, 4]]]","[29, 31]","[19, 45, 26]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]",04:02,"[[1.738, 1.864, 2.182, 2.202, 2.317, 2.547, 2.172, 2.185, 2.413, 2.053, 2.182, 2.138, 2.363, 2.566, 1.695, 2.133, 1.788, 1.987, 1.772, 1.586, 1.621, 1.381, 1.16, 0.985, 0.852, 0.702, 0.61, 0.682, 0.656], [0.18, 0.405, 2.257, 3.443, 4.39, 8.127, 10.064, 9.649, 14.161, 11.949, 17.46, 17.115, 20.043, 15.333, 12.198, 13.373, 12.015, 8.672, 0.0, 4.812, 2.59, 2.116, 1.183, 0.0, 0.0, 0.14, 0.05, 0.031, 0.006, 0.0, 0.0]]","[[[3, 6], [3, 4], [5, 3], [2, 3], [6, 4], [1, 6], [6, 6], [2, 6], [6, 7], [7, 3], [7, 6], [3, 7], [8, 5], [5, 7], [8, 3], [2, 2], [3, 2], [1, 5], [6, 1], [5, 8], [1, 2], [4, 1], [7, 8], [2, 8], [8, 6], [8, 7], [3, 1], [7, 2], [7, 1]], [[4, 6], [3, 5], [3, 3], [4, 3], [6, 3], [2, 5], [6, 2], [5, 6], [6, 5], [4, 7], [5, 2], [7, 5], [7, 4], [1, 4], [2, 4], [4, 2], [1, 3], [4, 8], [1, 1], [3, 8], [8, 4], [1, 7], [6, 8], [8, 8], [1, 8], [7, 7], [2, 7], [2, 1], [5, 1], [8, 1], [8, 2]]]","[29, 31]","[15, 49, 34]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:36,"[[2.077, 2.291, 2.216, 2.521, 2.394, 2.207, 1.932, 2.885, 2.486, 1.941, 2.042, 1.764, 1.602, 1.812, 1.942, 1.656, 1.613, 1.254, 1.329, 1.143, 1.142, 1.608, 1.497, 1.403, 1.131, 1.148, 1.121, 1.087, 0.652, 0.0], [0.277, 1.099, 1.754, 3.382, 3.82, 5.833, 8.683, 2.716, 4.18, 11.403, 12.715, 7.011, 5.234, 9.736, 12.063, 6.617, 3.049, 2.848, 0.0, 1.206, 1.573, 0.0, 0.0, 0.369, 0.101, 0.092, 0.0, 0.004, 0.0, 0.0]]","[[[6, 4], [3, 6], [4, 2], [6, 3], [7, 6], [2, 3], [7, 5], [5, 7], [8, 3], [3, 3], [3, 7], [3, 5], [5, 1], [1, 3], [8, 5], [2, 5], [6, 1], [4, 1], [7, 2], [7, 3], [4, 7], [7, 7], [2, 2], [7, 8], [2, 1], [2, 6], [2, 8], [1, 6], [5, 8], [2, 7]], [[6, 5], [4, 3], [3, 4], [5, 3], [7, 4], [5, 6], [6, 6], [4, 6], [8, 4], [6, 2], [8, 2], [5, 2], [2, 4], [1, 4], [8, 6], [1, 2], [3, 1], [7, 1], [8, 1], [6, 7], [3, 8], [8, 8], [1, 1], [8, 7], [3, 2], [1, 7], [1, 8], [6, 8], [4, 8], [1, 5]]]","[30, 30]","[11, 53, 42]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:18,"[[2.199, 2.068, 2.309, 2.426, 2.702, 2.386, 2.47, 2.809, 2.653, 2.07, 2.142, 1.889, 2.194, 1.876, 2.108, 1.688, 1.969, 1.633, 1.397, 1.224, 1.211, 1.129, 0.94, 1.091, 0.92, 0.824, 0.722, 0.0, 0.603, 0.0], [0.225, 0.418, 2.383, 3.532, 4.731, 7.122, 6.787, 7.152, 14.434, 16.289, 14.577, 6.67, 14.141, 8.378, 9.072, 8.352, 7.296, 5.202, 3.233, 3.701, 1.984, 1.396, 0.546, 0.213, 0.0, 0.081, 0.0, 0.009, 0.0, 0.0]]","[[[6, 3], [6, 5], [4, 6], [7, 6], [4, 2], [4, 3], [6, 8], [2, 6], [5, 8], [3, 3], [3, 4], [3, 1], [1, 3], [8, 3], [6, 1], [6, 2], [1, 6], [3, 8], [8, 5], [1, 4], [7, 4], [5, 1], [2, 4], [7, 2], [7, 1], [7, 7], [7, 8], [1, 8], [2, 8], [1, 1]], [[5, 3], [6, 4], [6, 6], [5, 6], [3, 6], [3, 7], [6, 7], [7, 5], [5, 7], [4, 8], [8, 6], [3, 2], [2, 3], [7, 3], [5, 2], [4, 7], [2, 5], [3, 5], [1, 5], [8, 4], [4, 1], [8, 2], [8, 7], [2, 2], [8, 1], [2, 1], [8, 8], [2, 7], [1, 7], [1, 2]]]","[30, 30]","[32, 32, 0]",0
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:48,"[[2.063, 2.376, 2.19, 2.282, 2.433, 2.548, 2.677, 2.309, 1.981, 2.586, 2.092, 1.794, 1.602, 1.354, 1.246, 1.399, 1.188, 1.189, 1.058, 0.994, 0.962, 0.942, 0.645, 0.62, 0.623, 0.0], [0.265, 0.435, 0.941, 2.28, 1.05, 5.607, 7.293, 8.322, 9.344, 10.473, 4.734, 4.858, 0.0, 2.03, 1.333, 1.136, 1.351, 1.814, 1.029, 0.844, 0.49, 0.001, 0.422, 0.448, 0.0, 0.127, 0.084, 0.047, 0.039, 0.019, 0.015, 0.005, 0.0, 0.0]]","[[[6, 4], [4, 6], [7, 6], [7, 3], [3, 2], [5, 3], [4, 1], [5, 6], [8, 4], [2, 3], [2, 5], [3, 4], [2, 1], [7, 4], [1, 2], [1, 3], [1, 6], [2, 7], [2, 8], [4, 7], [7, 2], [8, 2], [8, 6], [7, 7], [7, 8], [6, 7]], [[6, 5], [6, 3], [6, 6], [4, 3], [3, 3], [5, 2], [7, 5], [4, 2], [3, 5], [2, 4], [3, 1], [5, 1], [1, 1], [2, 2], [1, 5], [1, 4], [2, 6], [1, 7], [3, 7], [4, 8], [3, 6], [1, 8], [3, 8], [6, 2], [8, 1], [5, 8], [5, 7], [6, 1], [8, 5], [7, 1], [8, 3], [8, 7], [8, 8], [6, 8]]]","[26, 34]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",02:31,"[[2.23, 2.421, 2.414, 2.493, 2.751, 2.818, 2.981, 2.052, 1.972, 1.882, 1.686, 1.791, 1.638, 1.764, 1.562, 1.508, 1.398, 1.283, 1.114, 0.0, 1.286, 1.102, 0.935, 0.767, 0.794, 0.603, 0.608, 0.0], [0.175, 0.557, 0.784, 1.814, 2.619, 4.497, 9.554, 7.863, 7.293, 12.057, 8.246, 4.892, 7.321, 6.67, 10.076, 9.872, 4.905, 0.0, 2.982, 1.203, 1.001, 0.892, 0.744, 0.644, 0.214, 0.122, 0.077, 0.162, 0.0, 0.014, 0.002, 0.0]]","[[[6, 5], [5, 2], [3, 5], [6, 6], [6, 2], [6, 4], [3, 3], [1, 6], [2, 3], [2, 5], [3, 1], [8, 6], [7, 4], [6, 8], [1, 5], [8, 4], [2, 2], [5, 7], [2, 1], [8, 8], [6, 1], [7, 3], [2, 7], [5, 8], [2, 8], [8, 3], [8, 2], [7, 1]], [[5, 3], [3, 6], [6, 3], [5, 6], [4, 3], [4, 6], [2, 6], [3, 4], [4, 2], [3, 2], [1, 3], [7, 6], [2, 4], [6, 7], [7, 5], [1, 4], [8, 5], [1, 1], [1, 2], [7, 7], [8, 7], [1, 7], [4, 1], [7, 8], [5, 1], [4, 8], [3, 7], [4, 7], [1, 8], [3, 8], [7, 2], [8, 1]]]","[28, 32]","[21, 43, 22]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:53,"[[2.255, 2.361, 1.955, 1.807, 2.059, 1.972, 1.97, 1.463, 1.453, 1.562, 1.588, 0.0, 1.348, 1.052, 1.253, 1.21, 1.029, 1.059, 0.977, 0.916, 0.971, 0.89, 0.655, 0.655, 0.549], [0.24, 0.493, 1.099, 1.472, 3.059, 2.596, 1.583, 1.851, 0.0, 1.229, 1.114, 0.917, 0.738, 0.654, 0.514, 0.475, 0.393, 0.415, 0.133, 0.168, 0.309, 0.0, 0.173, 0.15, 0.111, 0.147, 0.035, 0.028, 0.024, 0.0, 0.013, 0.006, 0.002, 0.0, 0.0]]","[[[3, 5], [5, 3], [2, 4], [2, 5], [2, 3], [2, 6], [3, 7], [1, 6], [1, 2], [2, 1], [3, 2], [1, 8], [3, 8], [4, 1], [5, 1], [5, 6], [7, 2], [7, 4], [7, 1], [6, 5], [5, 7], [7, 7], [8, 7], [7, 5], [7, 6]], [[3, 4], [3, 6], [1, 3], [4, 6], [1, 5], [1, 4], [2, 2], [1, 7], [1, 1], [3, 3], [2, 7], [3, 1], [2, 8], [4, 2], [4, 3], [5, 2], [6, 1], [6, 2], [4, 7], [6, 3], [7, 3], [8, 1], [6, 4], [8, 2], [6, 7], [5, 8], [7, 8], [6, 8], [6, 6], [8, 8], [8, 6], [4, 8], [8, 3], [8, 4], [8, 5]]]","[25, 35]","[7, 57, 50]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:31,"[[2.118, 1.968, 2.256, 2.551, 2.67, 2.473, 1.982, 2.327, 2.324, 1.82, 1.757, 1.516, 1.5, 1.322, 1.061, 1.225, 1.148, 1.087, 1.234, 1.167, 1.425, 1.505, 1.435, 1.151, 1.053, 0.962, 0.831, 0.607], [0.206, 0.451, 2.371, 2.379, 4.523, 5.267, 4.985, 6.522, 3.578, 1.213, 1.317, 1.657, 0.001, 2.282, 1.223, 1.652, 1.49, 0.0, 0.936, 0.951, 0.622, 0.0, 0.928, 0.583, 0.349, 0.522, 0.207, 0.07, 0.027, 0.0, 0.001, 0.0]]","[[[6, 3], [6, 5], [6, 7], [3, 3], [7, 3], [6, 2], [8, 6], [7, 7], [5, 8], [8, 5], [3, 5], [4, 7], [7, 8], [3, 7], [2, 8], [1, 7], [1, 6], [7, 2], [3, 4], [4, 3], [4, 2], [2, 4], [2, 1], [2, 5], [5, 1], [1, 2], [7, 1], [4, 1]], [[5, 3], [6, 4], [6, 6], [7, 6], [7, 5], [7, 4], [5, 7], [8, 4], [5, 6], [8, 3], [8, 7], [4, 6], [8, 8], [6, 8], [4, 8], [3, 8], [2, 7], [1, 8], [2, 6], [3, 6], [8, 2], [8, 1], [1, 5], [3, 2], [6, 1], [1, 3], [2, 3], [1, 4], [3, 1], [1, 1], [2, 2], [5, 2]]]","[28, 32]","[13, 51, 38]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:35,"[[2.11, 2.121, 1.948, 2.258, 2.571, 2.438, 2.42, 2.195, 2.222, 2.125, 2.199, 1.804, 2.038, 2.031, 1.795, 1.606, 0.0, 1.4, 1.419, 1.387, 1.344, 1.443, 1.754, 1.458, 1.533, 1.116, 0.959, 0.991, 0.765, 0.0, 0.0], [0.304, 0.855, 1.898, 3.722, 4.729, 4.722, 8.178, 8.027, 5.777, 9.585, 9.697, 6.099, 10.786, 7.192, 6.439, 5.265, 3.469, 3.183, 2.327, 0.0, 1.057, 0.866, 0.0, 0.872, 0.289, 0.111, 0.025, 0.002, 0.0]]","[[[3, 5], [4, 3], [3, 3], [5, 3], [6, 6], [3, 1], [6, 1], [7, 6], [6, 3], [3, 6], [4, 6], [7, 3], [7, 4], [1, 4], [8, 6], [8, 4], [8, 8], [2, 4], [1, 6], [1, 2], [2, 2], [5, 7], [2, 7], [4, 1], [6, 7], [3, 7], [4, 8], [7, 8], [7, 2], [8, 2], [2, 8]], [[3, 4], [5, 6], [4, 2], [3, 2], [5, 2], [6, 5], [5, 1], [7, 1], [6, 4], [7, 5], [8, 7], [2, 3], [8, 3], [1, 3], [8, 5], [1, 5], [2, 5], [2, 6], [1, 7], [1, 1], [4, 7], [7, 7], [1, 8], [2, 1], [6, 2], [3, 8], [6, 8], [5, 8], [8, 1]]]","[31, 29]","[26, 38, 12]",-1
