Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",02:42,"[[0.176, 0.437, 1.42, 2.418, 5.527, 8.389, 7.859, 12.21, 14.953, 10.168, 11.225, 7.056, 10.838, 11.981, 13.69, 11.348, 6.712, 4.933, 1.356, 1.066, 0.745, 1.169, 0.0, 0.253, 0.065, 0.0, 0.036, 0.036, 0.024, 0.003, 0.001, 0.0], [0.103, 0.169, 0.18, 0.76, 1.081, 1.165, 1.64, 1.581, 0.759, 0.793, 0.961, 1.338, 1.066, 1.223, 1.488, 0.559, 0.18, 0.265, 0.054, 0.09, 0.096, 0.092, 0.058, 0.017, 0.0, 0.002, 0.0, 0.0]]","[[[5, 3], [3, 6], [6, 3], [6, 4], [5, 6], [7, 3], [3, 3], [4, 6], [8, 6], [7, 6], [6, 6], [4, 7], [4, 2], [5, 8], [3, 2], [4, 8], [8, 4], [8, 2], [3, 1], [7, 1], [2, 6], [1, 5], [8, 1], [2, 4], [6, 1], [1, 1], [7, 8], [8, 7], [1, 2], [1, 3], [1, 7], [1, 8]], [[6, 5], [4, 3], [5, 2], [3, 5], [7, 5], [6, 2], [3, 7], [7, 4], [8, 3], [5, 7], [8, 5], [6, 7], [3, 4], [2, 3], [3, 8], [6, 8], [5, 1], [2, 1], [4, 1], [7, 2], [2, 5], [7, 7], [1, 6], [1, 4], [8, 8], [2, 2], [2, 7], [2, 8]]]","[32, 28]","[42, 22, 20]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:17,"[[0.256, 0.781, 2.157, 3.973, 4.916, 2.735, 4.792, 6.263, 5.616, 2.679, 2.748, 4.18, 5.132, 6.337, 4.657, 3.28, 2.03, 2.198, 1.535, 0.684, 0.602, 0.133, 0.112, 0.061, 0.042, 0.027, 0.0, 0.0], [0.129, 0.188, 0.294, 0.528, 0.409, 0.434, 0.534, 0.746, 0.63, 0.545, 0.658, 0.43, 0.259, 0.854, 0.443, 0.254, 0.387, 0.273, 0.283, 0.239, 0.2, 0.082, 0.059, 0.029, 0.02, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [5, 6], [2, 5], [5, 2], [6, 4], [7, 4], [7, 5], [8, 5], [4, 1], [5, 7], [7, 6], [4, 6], [6, 1], [8, 2], [8, 7], [6, 8], [2, 1], [7, 1], [3, 8], [2, 8], [7, 7], [3, 3], [1, 6], [1, 3], [2, 4], [1, 7], [1, 1], [7, 8]], [[3, 5], [4, 3], [6, 6], [6, 5], [4, 2], [7, 3], [6, 3], [8, 6], [8, 4], [4, 7], [4, 8], [5, 3], [5, 1], [3, 2], [8, 3], [3, 1], [6, 2], [3, 6], [5, 8], [3, 7], [6, 7], [7, 2], [1, 4], [1, 5], [2, 3], [2, 6], [2, 2], [1, 2], [1, 8], [2, 7], [8, 8], [8, 1]]]","[28, 32]","[25, 39, 14]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:35,"[[0.235, 0.596, 1.695, 3.115, 4.333, 6.131, 6.298, 9.153, 11.859, 14.891, 11.577, 12.932, 10.463, 16.076, 8.905, 5.701, 0.0, 4.73, 5.108, 2.329, 1.004, 0.438, 0.0, 0.23, 0.138, 0.103, 0.08, 0.04, 0.021, 0.0, 0.0], [0.144, 0.232, 0.319, 0.477, 0.58, 1.216, 1.046, 0.612, 1.989, 1.39, 1.759, 1.683, 1.484, 1.295, 0.449, 0.411, 0.597, 0.518, 0.431, 0.288, 0.054, 0.095, 0.044, 0.024, 0.0, 0.003, 0.001, 0.001, 0.0]]","[[[6, 4], [3, 6], [6, 3], [3, 3], [5, 3], [6, 6], [3, 5], [7, 6], [3, 2], [7, 4], [4, 2], [2, 4], [3, 7], [5, 6], [3, 4], [2, 5], [1, 1], [8, 4], [2, 1], [4, 7], [1, 2], [7, 7], [8, 8], [6, 8], [1, 5], [2, 7], [1, 7], [8, 2], [5, 1], [8, 1], [3, 8]], [[4, 3], [6, 5], [4, 6], [7, 3], [6, 2], [2, 6], [6, 7], [2, 3], [3, 1], [8, 6], [8, 5], [1, 3], [2, 2], [2, 8], [4, 1], [1, 6], [7, 5], [8, 3], [5, 2], [5, 7], [1, 4], [7, 8], [8, 7], [5, 8], [1, 8], [7, 2], [6, 1], [7, 1], [4, 8]]]","[31, 29]","[42, 22, 20]",1
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",01:23,"[[0.305, 0.839, 1.995, 1.532, 1.814, 3.588, 5.145, 2.125, 9.779, 9.257, 6.944, 7.989, 7.295, 5.19, 3.18, 2.426, 0.001, 0.0, 1.362, 0.939, 0.691, 0.0, 0.499, 0.333, 0.218, 0.056, 0.038, 0.008, 0.001, 0.0], [0.15, 0.189, 0.303, 0.464, 0.518, 0.342, 0.927, 0.457, 0.586, 1.078, 1.254, 0.73, 0.688, 0.499, 0.517, 0.228, 0.162, 0.141, 0.161, 0.053, 0.042, 0.05, 0.12, 0.017, 0.016, 0.001, 0.01, 0.006, 0.001, 0.0]]","[[[6, 5], [4, 3], [5, 7], [7, 5], [7, 4], [7, 3], [5, 3], [6, 7], [8, 3], [8, 6], [4, 6], [5, 8], [3, 5], [3, 8], [7, 8], [8, 2], [8, 1], [8, 8], [2, 8], [6, 1], [4, 1], [1, 8], [2, 1], [1, 6], [2, 5], [4, 2], [1, 5], [1, 3], [2, 3], [2, 2]], [[6, 4], [5, 6], [6, 6], [4, 8], [8, 4], [6, 3], [8, 5], [4, 7], [5, 2], [6, 2], [3, 2], [3, 6], [3, 7], [3, 4], [6, 8], [7, 6], [7, 2], [7, 7], [8, 7], [7, 1], [5, 1], [2, 7], [2, 6], [3, 3], [3, 1], [1, 1], [1, 4], [1, 7], [2, 4], [1, 2]]]","[30, 30]","[43, 21, 22]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:04,"[[0.184, 0.582, 1.481, 3.157, 4.236, 6.041, 6.349, 11.048, 13.433, 14.618, 23.096, 16.261, 10.798, 13.514, 9.328, 9.47, 7.254, 4.668, 3.191, 1.728, 0.854, 1.531, 0.0, 0.0, 0.224, 0.129, 0.04, 0.011, 0.005, 0.0, 0.0], [0.101, 0.188, 0.322, 0.719, 0.429, 1.158, 1.524, 1.88, 2.066, 2.249, 3.274, 1.525, 1.098, 0.845, 0.817, 1.184, 0.638, 0.259, 0.19, 0.193, 0.106, 0.194, 0.145, 0.082, 0.038, 0.013, 0.0, 0.001, 0.0]]","[[[6, 4], [3, 6], [6, 3], [3, 3], [5, 3], [6, 6], [3, 5], [4, 7], [2, 4], [4, 2], [5, 6], [2, 5], [7, 5], [3, 1], [7, 6], [4, 8], [6, 1], [2, 3], [4, 1], [2, 8], [8, 3], [6, 8], [8, 8], [1, 1], [2, 2], [8, 4], [7, 1], [8, 2], [1, 7], [1, 4], [1, 8]], [[4, 3], [6, 5], [4, 6], [7, 3], [6, 2], [2, 6], [3, 2], [3, 4], [6, 7], [3, 7], [3, 8], [1, 5], [8, 5], [5, 2], [8, 6], [7, 4], [1, 3], [5, 1], [5, 7], [1, 2], [5, 8], [7, 8], [2, 1], [7, 7], [8, 7], [7, 2], [8, 1], [1, 6], [2, 7]]]","[31, 29]","[54, 10, 44]",1
"[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:18,"[[0.274, 0.883, 1.944, 1.434, 1.845, 3.229, 4.675, 2.137, 5.028, 6.751, 6.669, 7.323, 4.969, 2.601, 1.591, 2.524, 2.134, 2.088, 2.76, 2.331, 2.149, 1.23, 0.52, 0.423, 0.353, 0.138, 0.022, 0.003, 0.006, 0.0], [0.108, 0.175, 0.355, 0.351, 0.531, 0.454, 0.887, 0.533, 0.654, 0.698, 0.585, 0.752, 0.385, 0.667, 0.182, 0.452, 0.533, 0.148, 0.477, 0.375, 0.287, 0.149, 0.001, 0.073, 0.001, 0.001, 0.017, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 5], [2, 4], [4, 2], [5, 2], [6, 2], [6, 4], [2, 3], [7, 4], [6, 1], [8, 3], [8, 5], [3, 1], [2, 1], [5, 6], [4, 7], [3, 6], [5, 8], [3, 7], [1, 4], [1, 7], [7, 8], [7, 6], [7, 2], [2, 7], [4, 8], [7, 7], [1, 2], [3, 8]], [[5, 3], [3, 4], [3, 3], [1, 5], [5, 1], [6, 3], [4, 1], [2, 5], [7, 5], [8, 4], [3, 2], [8, 2], [8, 6], [1, 3], [6, 6], [5, 7], [4, 6], [3, 5], [6, 7], [2, 6], [7, 3], [1, 6], [1, 8], [6, 8], [8, 1], [8, 8], [7, 1], [1, 1], [2, 2], [2, 8], [8, 7]]]","[29, 31]","[18, 46, 28]",-1
"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]",03:31,"[[0.243, 0.613, 0.759, 2.264, 3.987, 9.428, 14.233, 16.23, 16.909, 11.617, 16.2, 12.79, 13.591, 16.052, 17.763, 14.78, 7.196, 4.515, 5.38, 3.939, 1.346, 1.234, 0.944, 0.0, 0.264, 0.146, 0.048, 0.021, 0.002, 0.0], [0.137, 0.192, 0.22, 0.573, 1.008, 0.41, 1.082, 1.332, 0.649, 1.182, 2.192, 1.479, 2.005, 1.617, 0.821, 0.908, 0.369, 0.635, 0.487, 0.286, 0.15, 0.122, 0.088, 0.085, 0.001, 0.014, 0.015, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [4, 6], [6, 3], [5, 6], [2, 6], [7, 5], [3, 3], [4, 2], [5, 3], [6, 1], [4, 7], [7, 3], [5, 8], [4, 1], [2, 1], [7, 4], [2, 3], [2, 5], [3, 8], [8, 5], [1, 4], [7, 8], [8, 1], [2, 7], [8, 7], [7, 1], [7, 7], [1, 7], [1, 1]], [[4, 3], [6, 6], [6, 5], [3, 5], [3, 7], [5, 7], [6, 7], [7, 6], [1, 6], [5, 2], [6, 2], [8, 6], [3, 4], [5, 1], [3, 1], [3, 2], [8, 3], [6, 8], [1, 5], [8, 4], [1, 3], [2, 4], [7, 2], [4, 8], [8, 8], [2, 8], [8, 2], [1, 8], [2, 2], [1, 2]]]","[30, 30]","[29, 35, 6]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:16,"[[0.27, 0.826, 2.111, 4.035, 4.637, 2.877, 4.473, 5.604, 5.587, 2.641, 2.557, 4.277, 5.019, 6.324, 4.425, 3.17, 2.108, 2.25, 1.636, 0.692, 0.583, 0.142, 0.123, 0.052, 0.042, 0.027, 0.0, 0.0], [0.079, 0.169, 0.317, 0.535, 0.613, 0.667, 0.523, 0.53, 0.606, 0.456, 0.513, 0.344, 0.585, 0.697, 0.371, 0.424, 0.43, 0.255, 0.275, 0.311, 0.25, 0.161, 0.062, 0.04, 0.012, 0.008, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 5], [5, 2], [2, 5], [4, 6], [4, 7], [5, 7], [5, 8], [1, 4], [7, 5], [6, 7], [6, 4], [1, 6], [2, 8], [7, 8], [8, 6], [1, 2], [1, 7], [8, 3], [8, 2], [7, 7], [3, 3], [6, 1], [3, 1], [4, 2], [7, 1], [1, 1], [8, 7]], [[5, 3], [3, 4], [6, 6], [5, 6], [2, 4], [3, 7], [3, 6], [6, 8], [4, 8], [7, 4], [8, 4], [3, 5], [1, 5], [2, 3], [3, 8], [1, 3], [2, 6], [6, 3], [8, 5], [7, 3], [7, 6], [2, 7], [4, 1], [5, 1], [3, 2], [6, 2], [2, 2], [2, 1], [8, 1], [7, 2], [8, 8], [1, 8]]]","[28, 32]","[25, 39, 14]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:40,"[[0.227, 0.517, 1.51, 2.43, 4.814, 5.996, 7.562, 5.933, 6.076, 7.115, 7.998, 4.928, 4.62, 4.396, 5.598, 7.278, 2.348, 2.172, 1.905, 2.032, 1.367, 0.654, 0.0, 0.632, 0.148, 0.079, 0.022, 0.006, 0.001, 0.0], [0.132, 0.204, 0.251, 0.875, 1.218, 0.626, 1.419, 1.212, 0.636, 0.559, 0.599, 0.738, 0.543, 0.514, 0.353, 0.272, 0.401, 0.265, 0.221, 0.099, 0.087, 0.077, 0.125, 0.0, 0.013, 0.013, 0.004, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [5, 3], [5, 6], [7, 5], [3, 3], [6, 2], [4, 2], [8, 5], [8, 4], [5, 7], [7, 8], [3, 5], [3, 2], [5, 8], [1, 3], [1, 5], [2, 5], [1, 7], [3, 8], [5, 1], [1, 8], [3, 7], [7, 7], [1, 2], [7, 2], [2, 2], [2, 1], [7, 1]], [[4, 3], [6, 5], [7, 4], [6, 6], [7, 3], [8, 6], [7, 6], [6, 1], [5, 2], [3, 1], [8, 3], [6, 7], [3, 4], [2, 3], [6, 8], [4, 1], [1, 4], [2, 6], [1, 6], [4, 8], [4, 7], [2, 7], [2, 8], [8, 8], [4, 6], [2, 4], [8, 7], [1, 1], [8, 2], [8, 1]]]","[30, 30]","[25, 39, 14]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",01:16,"[[0.254, 0.875, 2.158, 4.024, 4.74, 2.684, 4.511, 5.778, 5.549, 2.452, 2.707, 3.956, 5.078, 6.375, 4.605, 3.04, 2.669, 1.119, 1.689, 0.928, 1.013, 0.0, 0.497, 0.133, 0.104, 0.028, 0.018, 0.008, 0.0, 0.0], [0.092, 0.183, 0.274, 0.516, 0.813, 0.511, 0.616, 0.616, 0.445, 0.485, 0.695, 0.567, 0.422, 0.509, 0.868, 0.417, 0.414, 0.354, 0.212, 0.171, 0.098, 0.003, 0.002, 0.098, 0.056, 0.001, 0.03, 0.008, 0.004, 0.0]]","[[[4, 3], [6, 5], [5, 2], [2, 5], [4, 6], [4, 7], [5, 7], [5, 8], [1, 4], [7, 5], [6, 7], [6, 4], [1, 6], [2, 8], [7, 8], [8, 3], [1, 2], [3, 3], [7, 3], [2, 7], [8, 5], [8, 1], [6, 2], [5, 1], [3, 1], [1, 7], [8, 6], [2, 1], [3, 2], [7, 1]], [[5, 3], [3, 4], [6, 6], [5, 6], [2, 4], [3, 7], [3, 6], [6, 8], [4, 8], [7, 4], [8, 4], [3, 5], [1, 5], [2, 3], [3, 8], [1, 3], [2, 6], [8, 2], [6, 3], [4, 2], [7, 6], [1, 8], [8, 8], [7, 7], [2, 2], [1, 1], [8, 7], [7, 2], [4, 1], [6, 1]]]","[30, 30]","[28, 36, 8]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:04,"[[0.193, 0.518, 1.557, 2.488, 4.908, 5.835, 7.077, 6.127, 13.174, 16.388, 16.469, 15.644, 15.411, 14.931, 10.195, 10.221, 9.462, 6.597, 3.357, 3.488, 1.493, 1.352, 0.924, 0.487, 0.255, 0.0, 0.03, 0.007, 0.0, 0.0], [0.119, 0.178, 0.251, 0.744, 1.057, 0.553, 0.555, 1.204, 0.999, 1.23, 1.346, 1.214, 1.613, 0.98, 0.878, 0.638, 0.542, 0.594, 0.44, 0.148, 0.093, 0.18, 0.074, 0.001, 0.025, 0.023, 0.006, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [5, 3], [5, 6], [7, 5], [7, 6], [3, 3], [4, 6], [3, 2], [6, 2], [8, 4], [8, 5], [3, 7], [1, 3], [2, 5], [1, 5], [4, 2], [4, 8], [5, 1], [4, 1], [2, 6], [7, 2], [2, 2], [2, 1], [8, 1], [8, 7], [2, 8], [8, 8], [1, 7]], [[4, 3], [6, 5], [7, 4], [6, 6], [7, 3], [8, 6], [3, 5], [2, 3], [6, 7], [3, 1], [6, 1], [8, 3], [5, 7], [3, 8], [4, 7], [1, 4], [5, 2], [3, 4], [6, 8], [5, 8], [1, 6], [1, 2], [2, 4], [1, 1], [8, 2], [7, 1], [7, 7], [1, 8], [7, 8], [2, 7]]]","[30, 30]","[29, 35, 6]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:15,"[[0.265, 0.931, 1.965, 4.021, 4.827, 2.872, 4.63, 6.823, 3.291, 3.503, 3.189, 4.382, 0.0, 2.153, 3.641, 4.129, 4.844, 2.954, 3.046, 1.921, 1.088, 0.351, 0.168, 0.043, 0.078, 0.013, 0.016, 0.002, 0.0], [0.131, 0.284, 0.255, 0.498, 0.652, 0.706, 0.509, 0.73, 0.632, 0.744, 0.997, 0.484, 0.002, 0.387, 0.428, 0.41, 0.452, 0.516, 0.338, 0.265, 0.231, 0.133, 0.001, 0.057, 0.0, 0.058, 0.022, 0.01, 0.005, 0.0, 0.0]]","[[[6, 5], [4, 3], [7, 4], [4, 7], [3, 5], [2, 5], [2, 4], [5, 8], [4, 2], [6, 1], [2, 2], [4, 1], [8, 1], [2, 1], [6, 3], [3, 8], [1, 2], [2, 3], [3, 7], [7, 8], [1, 7], [1, 6], [7, 6], [2, 8], [8, 7], [8, 5], [7, 5], [7, 2], [8, 2]], [[6, 4], [5, 6], [3, 3], [3, 4], [5, 7], [2, 6], [3, 6], [1, 5], [5, 2], [5, 1], [7, 1], [3, 2], [1, 1], [5, 3], [4, 6], [4, 8], [6, 7], [1, 3], [6, 6], [6, 8], [3, 1], [1, 4], [1, 8], [2, 7], [8, 8], [8, 6], [7, 7], [8, 4], [6, 2], [7, 3], [8, 3]]]","[29, 31]","[16, 48, 32]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:41,"[[0.187, 0.511, 1.53, 2.361, 4.998, 5.595, 6.796, 5.84, 5.636, 6.799, 7.868, 5.152, 3.557, 6.098, 5.062, 3.814, 3.661, 4.168, 3.617, 3.083, 1.676, 0.599, 0.575, 0.406, 0.204, 0.082, 0.045, 0.004, 0.0, 0.0], [0.124, 0.154, 0.271, 0.698, 1.324, 0.585, 0.944, 0.729, 0.615, 0.67, 0.314, 0.583, 0.237, 0.72, 0.55, 0.424, 0.535, 0.331, 0.475, 0.232, 0.111, 0.052, 0.0, 0.053, 0.023, 0.0, 0.009, 0.001, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [5, 3], [5, 6], [7, 5], [3, 3], [6, 2], [4, 2], [8, 5], [8, 4], [2, 3], [3, 2], [3, 4], [6, 7], [1, 5], [4, 6], [6, 8], [1, 6], [3, 5], [4, 8], [5, 1], [8, 7], [3, 8], [7, 7], [1, 2], [7, 2], [2, 1], [8, 1], [2, 7]], [[4, 3], [6, 5], [7, 4], [6, 6], [7, 3], [8, 6], [7, 6], [6, 1], [5, 2], [3, 1], [2, 4], [1, 3], [8, 3], [4, 1], [5, 8], [4, 7], [3, 7], [2, 6], [1, 4], [1, 7], [5, 7], [2, 5], [8, 8], [7, 8], [2, 8], [1, 1], [2, 2], [8, 2], [7, 1], [1, 8]]]","[30, 30]","[26, 38, 12]",-1
